Time,Signal
0,1
4,1
5.2,0.94
5.24,0.938
5.32,0.938
5.36,0.94
5.52,0.948
10.92,0.948
10.96,0.95
11.12,0.958
14.72,0.958
14.76,0.96
15.12,0.978
64.32,0.978
64.36,0.98
64.76,1
65.96,1
66.56,1.03
66.6,1.032
70.48,1.032
70.52,1.03
70.68,1.022
126.22,1.022
126.32,1.02
126.72,1
127.92,1
