Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,PCC_Control.CB_faults,PCC_Control.fault_vpu,PCC_Control.fault_fpu,PCC_Control.Fault,PCC_Control.GFL,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.df_Switch.df_diff,Battery inverter (Average)1.Control.df_Switch.df_sync,Battery inverter (Average)1.Control.df_Switch.df_o,Battery inverter (Average)1.Control.df_Switch.Phase_Synch.dPh,Battery inverter (Average)1.Control.df_Switch.Phase_Synch.uPh,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control.d_2_f,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.298,0.5,0.0,50000.0,-0.0013786951,10112.768,10159.253,0.5012026,0.5012029,-5.1046165e-08,-8.0219445e-07,0.9976007,-1.0160301e-07,97.17517,298.0278,298.0278,88.20465,-104.13137,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.06272531,0.5029561,1.1548024,1.1548027,1.0,-78.114975,-19.060202,-263.03613,-34.991684,-4.6313498e-11,-1.6815426e-15,1.1548027,1.1548027,1.1548024,0.039588243,1.0,1.0,-2.0591608e-08,0.0,-2.0591608e-08,-1.4831659e-07,-1.0313568e-06,1.0,1.1548027,1.1548024,-1.703694e-07,-7.230702e-09,0.0,0.0,1.0,1.0
-0.2978,0.5,0.0,50000.0,-0.0012799576,10112.768,10159.253,0.5012026,0.5012029,-5.1009767e-08,-8.449087e-07,0.9976006,-1.0153056e-07,99.124275,305.70682,305.70682,88.20465,-108.24071,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.06273016,0.5029561,1.2176343,1.2176346,1.0,-73.747055,-25.377222,-250.44441,-55.2624,-4.64454e-11,-1.2942955e-15,1.2176344,1.2176344,1.2176343,0.039588213,1.0,1.0,-2.7661159e-08,0.0,-2.7661159e-08,-1.915221e-07,-1.3848152e-06,1.0,1.2176346,1.2176343,-2.0936626e-07,-8.88578e-09,0.0,0.0,1.0,1.0
-0.2976,0.5,0.0,50000.0,-0.001176397,10112.768,10159.253,0.5012026,0.5012029,-5.0786486e-08,-8.984229e-07,0.9976006,-1.0108614e-07,100.68218,312.17932,312.17932,88.20465,-111.922966,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.06273501,0.5029561,1.2804661,1.2804663,1.0,-69.08809,-31.59409,-236.8643,-75.315025,-4.6581496e-11,-6.0832996e-16,1.2804663,1.2804663,1.2804661,0.039588183,1.0,1.0,-3.4640173e-08,0.0,-3.4640173e-08,-2.3391473e-07,-1.7337397e-06,0.99999994,1.2804663,1.2804661,-2.4814423e-07,-1.05315685e-08,0.0,0.0,1.0,1.0
-0.2974,0.5,0.0,50000.0,-0.0010682648,10112.768,10159.253,0.5012026,0.5012029,-5.0375817e-08,-9.2168256e-07,0.9976006,-1.00268736e-07,101.84274,317.41983,317.41983,88.20465,-115.16361,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.06273987,0.5029561,1.343298,1.3432982,1.0,-64.15647,-37.68627,-222.34941,-95.07041,-4.669777e-11,3.7861327e-16,1.3432982,1.3432982,1.343298,0.039588142,1.0,1.0,-4.1501718e-08,0.0,-4.1501718e-08,-2.7533133e-07,-2.0767843e-06,0.99999994,1.3432982,1.343298,-2.8655253e-07,-1.2161667e-08,0.0,0.0,1.0,1.0
-0.2972,0.5,0.0,50000.0,-0.00095608714,10112.768,10159.253,0.5012026,0.5012029,-4.9773938e-08,-9.643313e-07,0.9976006,-9.9070746e-08,102.60137,321.4076,321.4076,88.20465,-117.94986,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.06274472,0.50295603,1.4061297,1.4061301,1.0,-58.971653,-43.629723,-206.957,-114.4506,-4.670174e-11,1.4570061e-15,1.4061301,1.4061301,1.4061297,0.03958811,1.0,1.0,-4.821977e-08,0.0,-4.821977e-08,-3.156153e-07,-2.412648e-06,0.99999994,1.4061301,1.4061297,-3.2444638e-07,-1.3769932e-08,0.0,0.0,1.0,1.0
-0.297,0.5,0.0,50000.0,-0.00084001356,10112.768,10159.253,0.5012026,0.5012029,-4.8963752e-08,-9.793225e-07,0.9976006,-9.7458134e-08,102.955086,324.12692,324.12692,88.20465,-120.27071,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.06274958,0.50295603,1.4689615,1.468962,1.0,-53.5541,-49.400986,-190.74782,-133.3791,-4.649847e-11,2.3215003e-15,1.4689618,1.4689618,1.4689615,0.039588075,1.0,1.0,-5.476899e-08,0.0,-5.476899e-08,-3.5461522e-07,-2.7400633e-06,0.99999994,1.468962,1.4689615,-3.616752e-07,-1.5349972e-08,0.0,0.0,1.0,1.0
-0.2968,0.5,0.0,50000.0,-0.0007210475,10112.768,10159.253,0.5012026,0.5012028,-4.7951836e-08,-1.0073785e-06,0.9976006,-9.544401e-08,102.90248,325.56708,325.56708,88.20465,-122.11701,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.06275443,0.50295603,1.5317934,1.5317937,1.0,-47.925194,-54.97729,-173.78584,-151.78122,-4.61516e-11,3.0645652e-15,1.5317937,1.5317937,1.5317934,0.039588064,1.0,1.0,-6.112374e-08,0.0,-6.112374e-08,-3.9217875e-07,-3.0577494e-06,0.99999994,1.5317937,1.5317934,-3.980942e-07,-1.6895642e-08,0.0,0.0,1.0,1.0
-0.2966,0.5,0.0,50000.0,-0.00059957174,10112.768,10159.253,0.5012026,0.5012028,-4.674794e-08,-1.0288059e-06,0.9976006,-9.304775e-08,102.44377,325.72235,325.72235,88.20465,-123.48147,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.06275928,0.502956,1.5946251,1.5946256,1.0,-42.10715,-60.336624,-156.13803,-169.58434,-4.5622145e-11,3.807249e-15,1.5946256,1.5946256,1.5946251,0.039588038,1.0,1.0,-6.725889e-08,0.0,-6.725889e-08,-4.2815742e-07,-3.3644485e-06,0.99999994,1.5946256,1.5946251,-4.33561e-07,-1.8400902e-08,0.0,0.0,1.0,1.0
-0.2964,0.5,0.0,50000.0,-0.00047579187,10112.768,10159.253,0.5012026,0.50120276,-4.5388152e-08,-1.0394559e-06,0.9976006,-9.034121e-08,101.580765,324.59216,324.59216,88.20465,-124.35869,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.06276413,0.502956,1.657457,1.6574575,1.0,-36.12293,-65.45783,-137.874,-186.71817,-4.4913726e-11,4.4203892e-15,1.6574575,1.6574575,1.657457,0.03958801,1.0,1.0,-7.315003e-08,0.0,-7.315003e-08,-4.624083e-07,-3.6589415e-06,0.99999994,1.6574575,1.657457,-4.6793514e-07,-1.9859785e-08,0.0,0.0,1.0,1.0
-0.2962,0.5,0.0,50000.0,-0.00035026466,10112.768,10159.253,0.5012026,0.50120276,-4.3861004e-08,-1.0517314e-06,0.9976006,-8.730156e-08,100.31686,322.18094,322.18094,88.20465,-124.745224,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.06276898,0.502956,1.7202888,1.7202893,1.0,-29.996143,-70.32072,-119.06584,-203.11511,-4.406544e-11,5.0215323e-15,1.7202893,1.7202893,1.7202888,0.03958802,1.0,1.0,-7.8774434e-08,0.0,-7.8774434e-08,-4.9479974e-07,-3.9400925e-06,0.99999994,1.7202893,1.7202888,-5.0108315e-07,-2.126663e-08,0.0,0.0,1.0,1.0
