Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,PCC_Control.CB_faults,PCC_Control.fault_vpu,PCC_Control.fault_fpu,PCC_Control.Fault,PCC_Control.GFL,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.df_Switch.df_diff,Battery inverter (Average)1.Control.df_Switch.df_sync,Battery inverter (Average)1.Control.df_Switch.df_o,Battery inverter (Average)1.Control.df_Switch.Phase_Synch.dPh,Battery inverter (Average)1.Control.df_Switch.Phase_Synch.uPh,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control.d_2_f,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.3,0.5,0.0,50000.0,-5.29897e-06,10112.81,10159.167,0.5012026,0.5012026,-9.1438544e-11,6.4081305e-09,0.9976006,-1.8200055e-10,102.68268,321.91223,321.91223,88.204865,-118.31534,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.09334952,0.50295573,1.4158608,1.4158608,1.0,-58.147144,-44.535538,-204.49863,-117.4136,-1.3491477e-12,-1.2139598e-13,1.4158609,1.4158609,1.4158608,0.039589055,1.0,1.0,-7.120688e-09,0.0,-7.120688e-09,-2.8661698e-10,-3.5603378e-07,1.0,1.4158608,1.4158608,-1.310731e-07,-5.562915e-09,0.0,0.0,1.0,1.0
-0.2998,0.5,0.0,50000.0,-4.9606147e-06,10112.81,10159.167,0.5012026,0.5012026,-8.2086914e-11,-6.6410504e-09,0.9976006,-1.6338694e-10,102.97351,324.43402,324.43402,88.204865,-120.563255,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.093354315,0.5029558,1.4786927,1.4786927,1.0,-52.69543,-50.27808,-188.16861,-136.26541,-1.3491477e-12,-1.2014117e-13,1.4786928,1.4786928,1.4786927,0.03958906,1.0,1.0,-7.1179485e-09,0.0,-7.1179485e-09,-2.678849e-10,-3.558967e-07,1.0,1.4786927,1.4786927,-1.310731e-07,-5.562915e-09,0.0,0.0,1.0,1.0
-0.2996,0.5,0.0,50000.0,-4.5845445e-06,10112.81,10159.167,0.5012026,0.5012026,-8.125057e-11,-2.597527e-10,0.9976006,-1.6172227e-10,102.85795,325.6754,325.6754,88.204865,-122.335365,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.09335911,0.50295573,1.5415244,1.5415244,1.0,-47.03575,-55.822197,-171.09596,-154.57947,-1.3491477e-12,-1.1882834e-13,1.5415246,1.5415246,1.5415244,0.039589062,1.0,1.0,-7.1149127e-09,0.0,-7.1149127e-09,-2.4742747e-10,-3.5574487e-07,1.0,1.5415244,1.5415244,-1.310731e-07,-5.562915e-09,0.0,0.0,1.0,1.0
-0.2994,0.5,0.0,50000.0,-4.420287e-06,10112.81,10159.167,0.5012026,0.5012026,-7.418201e-11,1.1607928e-10,0.9976006,-1.476529e-10,102.33646,325.63153,325.63153,88.204865,-123.62468,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.09336391,0.5029558,1.6043563,1.6043563,1.0,-41.190445,-61.146008,-153.34808,-172.28345,-1.3491477e-12,-1.178138e-13,1.6043564,1.6043564,1.6043563,0.039589055,1.0,1.0,-7.112018e-09,0.0,-7.112018e-09,-2.2797739e-10,-3.556002e-07,1.0,1.6043563,1.6043563,-1.310731e-07,-5.562915e-09,0.0,0.0,1.0,1.0
-0.2992,0.5,0.0,50000.0,-4.4093763e-06,10112.81,10159.167,0.5012026,0.5012026,-8.756535e-11,2.9896514e-09,0.9976006,-1.742913e-10,101.41109,324.30252,324.30252,88.204865,-124.4261,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.09336871,0.5029558,1.6671882,1.6671882,1.0,-35.18258,-66.22851,-134.99501,-189.30753,-1.3491477e-12,-1.1692282e-13,1.6671883,1.6671883,1.6671882,0.039589062,1.0,1.0,-7.1094033e-09,0.0,-7.1094033e-09,-2.1038776e-10,-3.5546958e-07,1.0,1.6671882,1.6671882,-1.310731e-07,-5.562915e-09,0.0,0.0,1.0,1.0
-0.299,0.5,0.0,50000.0,-4.464263e-06,10112.81,10159.167,0.5012026,0.5012026,-1.091578e-10,6.8938952e-09,0.9976006,-2.1726922e-10,100.085495,321.69366,321.69366,88.204865,-124.736465,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.09337351,0.5029558,1.73002,1.73002,1.0,-29.035864,-71.04963,-116.10918,-205.58447,-1.3491477e-12,-1.1637977e-13,1.7300202,1.7300202,1.73002,0.039589055,1.0,1.0,-7.1073356e-09,0.0,-7.1073356e-09,-1.9632075e-10,-3.5536638e-07,1.0,1.73002,1.73002,-1.310731e-07,-5.562915e-09,0.0,0.0,1.0,1.0
-0.2988,0.5,0.0,50000.0,-4.6561954e-06,10112.81,10159.167,0.5012026,0.5012026,-1.2748465e-10,-2.8053648e-09,0.9976006,-2.5374725e-10,98.36491,317.8152,317.8152,88.204865,-124.55456,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.093378305,0.50295573,1.7928519,1.7928519,1.0,-22.774555,-75.590355,-96.765114,-221.05008,-1.3491477e-12,-1.1568437e-13,1.792852,1.792852,1.7928519,0.03958907,1.0,1.0,-7.106255e-09,0.0,-7.106255e-09,-1.8850145e-10,-3.5531264e-07,1.0,1.7928519,1.7928519,-1.310731e-07,-5.562915e-09,0.0,0.0,1.0,1.0
-0.2986,0.5,0.0,50000.0,-4.974652e-06,10112.81,10159.167,0.5012026,0.5012026,-1.5747276e-10,1.384505e-08,0.9976006,-3.13436e-10,96.25612,312.68246,312.68246,88.204865,-123.881096,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.0933831,0.50295573,1.8556837,1.8556837,1.0,-16.423368,-79.832756,-77.039154,-235.64331,-1.3491477e-12,-1.1453584e-13,1.8556838,1.8556838,1.8556837,0.039589062,1.0,1.0,-7.1063524e-09,0.0,-7.1063524e-09,-1.8806606e-10,-3.5531778e-07,1.0,1.8556837,1.8556837,-1.310731e-07,-5.562915e-09,0.0,0.0,1.0,1.0
-0.2984,0.5,0.0,50000.0,-5.4239326e-06,10112.81,10159.167,0.5012026,0.5012026,-1.8948774e-10,-7.693111e-09,0.9976006,-3.7715905e-10,93.767456,306.3157,306.3157,88.204865,-122.718735,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.0933879,0.50295573,1.9185156,1.9185156,1.0,-10.007364,-83.76009,-57.009163,-249.30655,-1.3491477e-12,-1.1331985e-13,1.9185157,1.9185157,1.9185156,0.039589062,1.0,1.0,-7.107744e-09,0.0,-7.107744e-09,-1.9571075e-10,-3.5538775e-07,1.0,1.9185156,1.9185156,-1.310731e-07,-5.562915e-09,0.0,0.0,1.0,1.0
-0.2982,0.5,0.0,50000.0,-5.831008e-06,10112.81,10159.167,0.5012026,0.5012026,-2.2011173e-10,1.0455806e-08,0.9976006,-4.381135e-10,90.90874,298.74008,298.74008,88.204865,-121.07205,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.0933927,0.5029558,1.9813474,1.9813474,1.0,-3.551866,-87.35687,-36.75418,-261.9859,-1.3491477e-12,-1.11868644e-13,1.9813476,1.9813476,1.9813474,0.039589066,1.0,1.0,-7.110549e-09,0.0,-7.110549e-09,-2.1211523e-10,-3.5552833e-07,1.0,1.9813474,1.9813474,-1.310731e-07,-5.562915e-09,0.0,0.0,1.0,1.0
