Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control1.CB_faults,PCC_Control1.Fault,PCC_Control1.fault_fpu,PCC_Control1.fault_vpu,PCC_Control1.GFL,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error_Limited,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.3,0.0,0.0,8.7965855e-05,0.00045384184,100000.875,4.0727596,0.0,-1.08152896e-07,0.0,-4.415083e-08,0.99586636,1.45894905e-08,-8.048821,-40.473366,-40.473366,144.93541,25.494246,1.0,0.00023020241,229.98549,1.0,0.81751305,0.001751468,3.2663538,3.266354,1.0,3.4622662,4.586555,299.7209,-259.24753,-6.9789842e-12,2.6641587e-14,3.266354,3.266354,3.2663538,0.039520238,1.0,1.0,1.0,3.266354,3.2663538,-2.081465e-07,-1.3251018e-08,1.0,-1.0,1.0,0.99586636,1.0,-1.3251018e-08,0.0,1.0,1.0
-0.2995,0.0,0.0,5.3489464e-05,0.00046146594,100000.875,4.0727596,0.0,-1.0902229e-07,0.0,-4.4020974e-09,0.99586636,1.8514315e-08,-7.848191,-90.45969,-90.459694,144.93541,56.995464,1.0,0.00023020241,229.98549,1.0,0.8175337,0.0017514622,3.4234335,3.4234338,1.0,2.2784452,5.5697455,315.78995,-225.33026,-8.194675e-12,2.5936074e-14,3.4234338,3.4234338,3.4234335,0.039520275,1.0,1.0,1.0,3.4234338,3.4234335,-1.9692008e-07,-1.2536322e-08,1.0,-1.0,1.0,0.99586636,1.0,-1.2536322e-08,0.0,1.0,1.0
-0.299,0.0,0.0,1.7680606e-05,0.00045738294,100000.875,4.0727596,0.0,-1.18005374e-07,0.0,3.3368767e-08,0.99586636,2.206163e-08,-7.454311,-138.2186,-138.2186,144.93541,87.093094,1.0,0.00023020241,229.98549,1.0,0.81755435,0.0017514603,3.5805132,3.5805132,1.0,1.0385197,6.415791,324.08325,-185.86464,-9.015074e-12,2.5261672e-14,3.5805135,3.5805135,3.5805132,0.03952031,1.0,1.0,1.0,3.5805132,3.5805132,-1.8344834e-07,-1.1678684e-08,1.0,-1.0,1.0,0.99586636,1.0,-1.1678684e-08,0.0,1.0,1.0
-0.2985,0.0,0.0,-1.8272245e-05,0.00044212132,100000.875,4.0727596,0.0,-1.15715835e-07,0.0,6.679743e-08,0.99586636,2.4902366e-08,-6.87688,-182.5741,-182.5741,144.93541,115.04602,1.0,0.00023020241,229.98549,1.0,0.817575,0.0017514569,3.737593,3.737593,1.0,-0.22697999,7.1038604,324.3965,-141.8224,-9.966994e-12,2.4488365e-14,3.7375932,3.7375932,3.737593,0.039520346,1.0,1.0,1.0,3.737593,3.737593,-1.6805072e-07,-1.069844e-08,1.0,-1.0,1.0,0.99586636,1.0,-1.069844e-08,0.0,1.0,1.0
-0.298,0.0,0.0,-5.5779547e-05,0.00041503733,100000.875,4.0727596,0.0,-1.09230704e-07,0.0,1.01655445e-07,0.99586636,2.717835e-08,-6.130117,-222.43404,-222.43404,144.93541,140.16597,1.0,0.00023020241,229.98549,1.0,0.8175956,0.0017514587,3.8946726,3.8946726,1.0,-1.4868921,7.617009,316.72208,-94.28804,-1.0511459e-11,2.4352036e-14,3.8946726,3.8946726,3.8946726,0.039520383,1.0,1.0,1.0,3.8946726,3.8946726,-1.5101797e-07,-9.614102e-09,1.0,-1.0,1.0,0.99586636,1.0,-9.614102e-09,0.0,1.0,1.0
-0.2975,0.0,0.0,-9.100051e-05,0.00037789973,100000.875,4.0727596,0.0,-1.10737716e-07,0.0,1.344411e-07,0.99586636,2.8699434e-08,-5.232409,-256.8169,-256.8169,144.93541,161.83438,1.0,0.00023020241,229.98549,1.0,0.8176163,0.0017514649,4.051752,4.051752,1.0,-2.7101934,7.942602,301.24887,-44.43198,-1.0992249e-11,2.3570349e-14,4.0517526,4.0517526,4.051752,0.039520416,1.0,1.0,1.0,4.051752,4.051752,-1.3291057e-07,-8.46135e-09,1.0,-1.0,1.0,0.99586636,1.0,-8.46135e-09,0.0,1.0,1.0
-0.297,0.0,0.0,-0.00012471848,0.0003304767,100000.875,4.0727596,0.0,-9.7728766e-08,0.0,1.6465687e-07,0.99586636,2.9658523e-08,-4.205859,-284.87607,-284.87607,144.93541,179.51772,1.0,0.00023020241,229.98549,1.0,0.8176369,0.0017514699,4.208832,4.208832,1.0,-3.8667622,8.072621,278.35794,6.5181403,-1.1549227e-11,2.3048558e-14,4.208832,4.208832,4.208832,0.039520442,1.0,1.0,1.0,4.208832,4.208832,-1.1420793e-07,-7.2707027e-09,1.0,-1.0,1.0,0.99586636,1.0,-7.2707027e-09,0.0,1.0,1.0
-0.2965,0.0,0.0,-0.000155168,0.00027458975,100000.875,4.0727596,0.0,-8.692408e-08,0.0,1.8746275e-07,0.99586636,2.9758475e-08,-3.0757473,-305.92065,-305.92065,144.93541,192.78056,1.0,0.00023020241,229.98549,1.0,0.81765753,0.0017514817,4.3659115,4.3659115,1.0,-4.928119,8.003866,248.6129,57.307762,-1.2486165e-11,2.2964874e-14,4.3659115,4.3659115,4.3659115,0.03952047,1.0,1.0,1.0,4.3659115,4.3659115,-9.529832e-08,-6.0668794e-09,1.0,-1.0,1.0,0.99586636,1.0,-6.0668794e-09,0.0,1.0,1.0
-0.296,0.0,0.0,-0.00018144354,0.00021161426,100000.875,4.0727596,0.0,-7.5980374e-08,0.0,2.061652e-07,0.99586636,2.920002e-08,-1.8698992,-319.43246,-319.43246,144.93541,201.29633,1.0,0.00023020241,229.98549,1.0,0.81767815,0.0017514972,4.522991,4.522991,1.0,-5.8681297,7.738029,212.7462,106.68628,-1.3345076e-11,2.1326402e-14,4.522991,4.522991,4.522991,0.03952049,1.0,1.0,1.0,4.522991,4.522991,-7.668518e-08,-4.8819304e-09,1.0,-1.0,1.0,0.99586636,1.0,-4.8819304e-09,0.0,1.0,1.0
-0.2955,0.0,0.0,-0.00020377683,0.00014304304,100000.875,4.0727596,0.0,-5.7558832e-08,0.0,2.2215447e-07,0.99586636,2.7876988e-08,-0.6180067,-325.0788,-325.0788,144.93541,204.85535,1.0,0.00023020241,229.98549,1.0,0.8176988,0.0017515117,4.680071,4.680071,1.0,-6.663648,7.281655,171.64098,153.43782,-1.3834221e-11,2.1291805e-14,4.680071,4.680071,4.680071,0.039520506,1.0,1.0,1.0,4.680071,4.680071,-5.885292e-08,-3.746693e-09,1.0,-1.0,1.0,0.99586636,1.0,-3.746693e-09,0.0,1.0,1.0
