Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control1.CB_faults,PCC_Control1.Fault,PCC_Control1.fault_fpu,PCC_Control1.fault_vpu,PCC_Control1.GFL,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error_Limited,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.3,0.7,0.0,70000.0,4.711332e-06,3.0067472,10001.669,0.70138115,0.7013811,-1.5749903e-10,9.53573e-09,0.99803084,-2.2411337e-10,-100.19523,-239.97293,-239.97293,102.26558,119.24842,1.0,101.23541,230.48535,1.0,0.16502245,0.70313513,5.4557266,5.4557266,1.0,-39.175423,139.37065,-71.05015,311.02307,1.3490367e-12,3.0773607e-13,5.4557266,5.4557266,5.4557266,0.039606076,1.0,1.0,1.0,5.4557266,5.4557266,-8.743504e-08,-5.566288e-09,1.0,-1.0,1.0,0.99803084,1.0,-5.566288e-09,0.0,1.0,1.0
-0.2995,0.7,0.0,70000.0,3.836075e-06,3.0067472,10001.669,0.70138115,0.70138115,-1.524212e-10,1.5994935e-08,0.99803084,-2.1688787e-10,-82.83583,-202.51057,-202.51057,102.26558,104.97907,1.0,101.23541,230.48535,1.0,0.16503228,0.70313513,5.6128063,5.6128063,1.0,-60.330093,143.16592,-119.93997,322.45056,1.3490367e-12,3.0119088e-13,5.6128063,5.6128063,5.6128063,0.039606065,1.0,1.0,1.0,5.6128063,5.6128063,-8.743504e-08,-5.566288e-09,1.0,-1.0,1.0,0.99803084,1.0,-5.566288e-09,0.0,1.0,1.0
-0.299,0.7,0.0,70000.0,3.6360007e-06,3.0067472,10001.669,0.70138115,0.7013811,-1.3722638e-10,2.8125713e-09,0.99803084,-1.952664e-10,-63.436733,-160.06174,-160.06174,102.26558,88.1248,1.0,101.23541,230.48535,1.0,0.16504213,0.7031351,5.769886,5.769886,1.0,-79.99924,143.43597,-165.87648,325.9382,1.3490367e-12,2.9471616e-13,5.769886,5.769886,5.769886,0.03960607,1.0,1.0,1.0,5.769886,5.769886,-8.743504e-08,-5.566288e-09,1.0,-1.0,1.0,0.99803084,1.0,-5.566288e-09,0.0,1.0,1.0
-0.2985,0.7,0.0,70000.0,3.439666e-06,3.0067472,10001.669,0.70138115,0.7013811,-1.7783974e-10,9.461117e-09,0.99803084,-2.5305721e-10,-42.475616,-113.671646,-113.671646,102.26558,69.1006,1.0,101.23541,230.48535,1.0,0.16505198,0.7031351,5.9269657,5.9269657,1.0,-97.69854,140.17415,-207.72856,321.4002,1.3490367e-12,2.8911007e-13,5.9269657,5.9269657,5.9269657,0.039606083,1.0,1.0,1.0,5.9269657,5.9269657,-8.743504e-08,-5.566288e-09,1.0,-1.0,1.0,0.99803084,1.0,-5.566288e-09,0.0,1.0,1.0
-0.298,0.7,0.0,70000.0,3.2366388e-06,3.0067472,10001.669,0.70138115,0.70138115,-2.5133928e-10,4.873437e-09,0.99803084,-3.5764341e-10,-20.46861,-64.48258,-64.48258,102.26558,48.374916,1.0,101.23541,230.48535,1.0,0.16506183,0.70313513,6.0840454,6.0840454,1.0,-112.99217,133.46078,-244.46567,308.94824,1.3490367e-12,2.835783e-13,6.0840454,6.0840454,6.0840454,0.039606065,1.0,1.0,1.0,6.0840454,6.0840454,-8.743504e-08,-5.566288e-09,1.0,-1.0,1.0,0.99803084,1.0,-5.566288e-09,0.0,1.0,1.0
-0.2975,0.7,0.0,70000.0,3.2049427e-06,3.0067472,10001.669,0.70138115,0.70138115,-2.9471375e-10,-1.0742103e-09,0.99803084,-4.1936318e-10,2.0424025,-13.705746,-13.705746,102.26558,26.458078,1.0,101.23541,230.48535,1.0,0.16507168,0.7031351,6.241125,6.241125,1.0,-125.50356,123.46117,-275.18323,288.88898,1.3490367e-12,2.7935133e-13,6.241125,6.241125,6.241125,0.03960606,1.0,1.0,1.0,6.241125,6.241125,-8.743504e-08,-5.566288e-09,1.0,-1.0,1.0,0.99803084,1.0,-5.566288e-09,0.0,1.0,1.0
-0.297,0.7,0.0,70000.0,3.3286126e-06,3.0067472,10001.669,0.70138115,0.70138115,-2.770405e-10,1.6871877e-09,0.99803084,-3.9421502e-10,24.503124,37.408573,37.408573,102.26558,3.889752,1.0,101.23541,230.48535,1.0,0.16508152,0.70313513,0.11501924,0.11501924,1.0,-134.92465,110.421524,-299.12485,261.71628,1.3490367e-12,2.7131072e-13,0.11501933,0.11501933,0.11501924,0.039606076,1.0,1.0,1.0,0.11501924,0.11501924,-8.743504e-08,-5.566288e-09,1.0,-1.0,1.0,0.99803084,1.0,-5.566288e-09,0.0,1.0,1.0
-0.2965,0.7,0.0,70000.0,3.9724123e-06,3.0067472,10001.669,0.70138115,0.7013811,-1.8485012e-10,-2.2702574e-08,0.99803084,-2.6303262e-10,46.360497,87.60177,87.60177,102.26558,-18.774347,1.0,101.23541,230.48535,1.0,0.16509137,0.70313513,0.27209887,0.27209887,1.0,-141.02344,94.66293,-315.70105,228.09926,1.3490367e-12,2.6487823e-13,0.27209896,0.27209896,0.27209887,0.039606076,1.0,1.0,1.0,0.27209887,0.27209887,-8.743504e-08,-5.566288e-09,1.0,-1.0,1.0,0.99803084,1.0,-5.566288e-09,0.0,1.0,1.0
-0.296,0.7,0.0,70000.0,5.3204712e-06,3.0067472,10001.669,0.70138115,0.70138115,-9.7874334e-11,-1.2320046e-08,0.99803084,-1.3927036e-10,67.07632,135.63792,135.63792,102.26558,-40.97616,1.0,101.23541,230.48535,1.0,0.16510122,0.7031351,0.4291785,0.4291785,1.0,-143.64975,76.57343,-324.5036,188.86569,1.3490367e-12,2.5836475e-13,0.4291786,0.4291786,0.4291785,0.039606057,1.0,1.0,1.0,0.4291785,0.4291785,-8.743504e-08,-5.566288e-09,1.0,-1.0,1.0,0.99803084,1.0,-5.566288e-09,0.0,1.0,1.0
-0.2955,0.7,0.0,70000.0,6.8815234e-06,3.0067472,10001.669,0.70138115,0.70138115,1.4343382e-11,-7.564505e-09,0.99803084,2.0409927e-11,86.1405,180.33421,180.33421,102.26558,-62.169003,1.0,101.23541,230.48535,1.0,0.16511106,0.7031351,0.5862581,0.5862581,1.0,-142.73894,56.59844,-325.31583,144.98161,1.3490367e-12,2.5234093e-13,0.58625823,0.58625823,0.5862581,0.039606072,1.0,1.0,1.0,0.5862581,0.5862581,-8.743504e-08,-5.566288e-09,1.0,-1.0,1.0,0.99803084,1.0,-5.566288e-09,0.0,1.0,1.0
