Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control1.CB_faults,PCC_Control1.Fault,PCC_Control1.fault_fpu,PCC_Control1.fault_vpu,PCC_Control1.GFL,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error_Limited,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.3,-1.0,0.0,-100000.0,-0.00010603652,200000.97,-2.3622959,-1.0087705,-1.0087705,-1.0636032e-08,1.2744418e-07,0.9913058,1.0451893e-08,176.88516,-271.7213,-271.7213,145.60237,172.81076,1.0,145.6037,228.93227,1.0,1.0,-1.0070269,5.287246,5.287246,1.0,2.51243,-179.3976,-16.588123,288.30945,-5.1101436e-12,-4.90516e-13,5.287246,5.287246,5.287246,0.039339416,1.0,1.0,1.0,5.287246,5.287246,-4.3988567e-08,-2.8003992e-09,1.0,-1.0,1.0,0.99130577,1.0,-2.8003992e-09,0.0,1.0,1.0
-0.2995,-1.0,0.0,-100000.0,-0.00014622661,200000.97,-2.3622959,-1.0087705,-1.0087703,-7.9623215e-09,1.06553834e-07,0.9913058,7.824472e-09,158.27776,-240.8384,-240.8384,145.60237,153.16878,1.0,145.6037,228.93227,1.0,1.0,-1.0070269,5.444326,5.444326,1.0,34.66006,-192.93782,-66.96446,307.80286,-5.4473093e-12,-4.7066355e-13,5.444326,5.444326,5.444326,0.039339405,1.0,1.0,1.0,5.444326,5.444326,-3.8621366e-08,-2.4587126e-09,1.0,-1.0,1.0,0.99130577,1.0,-2.4587126e-09,0.0,1.0,1.0
-0.299,-1.0,0.0,-100000.0,-0.00018289994,200000.97,-2.3622959,-1.0087705,-1.0087703,-5.265988e-09,1.083962e-07,0.9913058,5.1748192e-09,135.77303,-204.02524,-204.02524,145.60237,129.75516,1.0,145.6037,228.93227,1.0,1.0,-1.0070268,5.6014056,5.6014056,1.0,65.95424,-201.72726,-115.6919,319.71713,-8.963031e-12,-4.487446e-13,5.6014056,5.6014056,5.6014056,0.03933942,1.0,1.0,1.0,5.6014056,5.6014056,-3.5090753e-08,-2.2339468e-09,1.0,-1.0,1.0,0.99130577,1.0,-2.2339468e-09,0.0,1.0,1.0
-0.2985,-1.0,0.0,-100000.0,-0.00021483105,200000.97,-2.3622959,-1.0087705,-1.0087705,-2.3361466e-09,1.00756054e-07,0.9913058,2.2957014e-09,109.92511,-162.1883,-162.1883,145.60237,103.14642,1.0,145.6037,228.93227,1.0,1.0,-1.0070269,5.7584853,5.758485,1.0,95.62441,-205.54953,-161.57063,323.75894,-1.2869285e-11,-4.263465e-13,5.7584853,5.7584853,5.7584853,0.03933939,1.0,1.0,1.0,5.758485,5.7584853,-3.335e-08,-2.1231268e-09,1.0,-1.0,1.0,0.99130577,1.0,-2.1231268e-09,0.0,1.0,1.0
-0.298,-1.0,0.0,-100000.0,-0.00024092074,200000.97,-2.3622959,-1.0087705,-1.0087703,6.092707e-10,6.458916e-08,0.9913058,-5.987225e-10,81.370476,-116.35775,-116.35775,145.60237,73.99777,1.0,145.6037,228.93227,1.0,1.0,-1.0070268,5.9155645,5.9155645,1.0,122.939995,-204.31047,-203.47096,319.8287,-1.6277252e-11,-4.0789092e-13,5.915565,5.915565,5.9155645,0.03933937,1.0,1.0,1.0,5.9155645,5.9155645,-3.3480312e-08,-2.1314228e-09,1.0,-1.0,1.0,0.99130577,1.0,-2.1314228e-09,0.0,1.0,1.0
-0.2975,-1.0,0.0,-100000.0,-0.00026143843,200000.97,-2.3622959,-1.0087705,-1.0087703,3.6946044e-09,5.7825385e-08,0.9913058,-3.6306405e-09,50.81223,-67.66209,-67.66209,145.60237,43.026936,1.0,145.6037,228.93227,1.0,1.0,-1.0070268,6.072644,6.072644,1.0,147.22838,-198.04062,-240.36115,308.02322,-1.8265311e-11,-3.896246e-13,6.072644,6.072644,6.072644,0.03933937,1.0,1.0,1.0,6.072644,6.072644,-3.5584094e-08,-2.2653537e-09,1.0,-1.0,1.0,0.99130577,1.0,-2.2653537e-09,0.0,1.0,1.0
-0.297,-1.0,0.0,-100000.0,-0.0002759609,200000.97,-2.3622959,-1.0087705,-1.0087703,6.5587047e-09,3.713347e-08,0.9913058,-6.445155e-09,19.00282,-17.300358,-17.300358,145.60237,10.996523,1.0,145.6037,228.93227,1.0,1.0,-1.0070268,6.229724,6.229724,1.0,167.89151,-186.89433,-271.33286,288.6332,-1.9803891e-11,-3.6987503e-13,6.229724,6.229724,6.229724,0.03933935,1.0,1.0,1.0,6.229724,6.229724,-3.943929e-08,-2.5107831e-09,1.0,-1.0,1.0,0.99130577,1.0,-2.5107831e-09,0.0,1.0,1.0
-0.2965,-1.0,0.0,-100000.0,-0.0002839659,200000.97,-2.3622959,-1.0087705,-1.0087703,9.175132e-09,3.5681126e-08,0.9913058,-9.016285e-09,-13.274504,33.487362,33.487362,145.60237,-21.304781,1.0,145.6037,228.93227,1.0,1.0,-1.0070268,0.103618324,0.103618264,1.0,184.42061,-171.1461,-295.62344,262.13608,-2.1471715e-11,-3.4921678e-13,0.10361837,0.10361837,0.103618324,0.039339326,1.0,1.0,1.0,0.103618264,0.103618324,-4.4822077e-08,-2.853462e-09,1.0,-1.0,1.0,0.99130577,1.0,-2.853462e-09,0.0,1.0,1.0
-0.296,-1.0,0.0,-100000.0,-0.00028402495,200000.97,-2.3622959,-1.0087705,-1.0087703,1.1567247e-08,-3.708465e-09,0.9913058,-1.1366986e-08,-45.224964,83.45051,83.450516,145.60237,-53.081596,1.0,145.6037,228.93227,1.0,1.0,-1.0070268,0.26069793,0.2606979,1.0,196.40865,-151.18369,-312.6348,229.18428,-2.370309e-11,-3.2950346e-13,0.260698,0.260698,0.26069793,0.039339315,1.0,1.0,1.0,0.2606979,0.26069793,-5.1546717e-08,-3.2815661e-09,1.0,-1.0,1.0,0.99130577,1.0,-3.2815661e-09,0.0,1.0,1.0
-0.2955,-1.0,0.0,-100000.0,-0.00027776614,200000.97,-2.3622959,-1.0087705,-1.0087703,1.3591261e-08,-2.0770122e-08,0.9913058,-1.3355958e-08,-76.06184,131.35883,131.35883,145.60237,-83.55148,1.0,145.6037,228.93227,1.0,1.0,-1.0070268,0.41777757,0.41777754,1.0,203.56046,-127.49862,-321.94806,190.58922,-2.4818935e-11,-3.1031867e-13,0.41777763,0.41777763,0.41777757,0.03933929,1.0,1.0,1.0,0.41777754,0.41777757,-5.9456273e-08,-3.785104e-09,1.0,-1.0,1.0,0.99130577,1.0,-3.785104e-09,0.0,1.0,1.0
-0.295,-1.0,0.0,-100000.0,-0.00026453033,200000.97,-2.3622959,-1.0087705,-1.0087703,1.5455132e-08,-3.9829395e-08,0.9913058,-1.518756e-08,-105.02581,176.03265,176.03265,145.60237,-111.964165,1.0,145.6037,228.93227,1.0,1.0,-1.0070268,0.5748572,0.5748572,1.0,205.69994,-100.67412,-323.33386,147.30121,-2.4810664e-11,-2.9150567e-13,0.57485723,0.57485723,0.5748572,0.039339285,1.0,1.0,1.0,0.5748572,0.5748572,-6.836028e-08,-4.3519504e-09,1.0,-1.0,1.0,0.99130577,1.0,-4.3519504e-09,0.0,1.0,1.0
-0.2945,-1.0,0.0,-100000.0,-0.0002457515,200000.97,-2.3622959,-1.0087705,-1.0087703,1.6893617e-08,-5.7578152e-08,0.9913058,-1.660114e-08,-131.4037,216.37198,216.37198,145.60237,-137.62003,1.0,145.6037,228.93227,1.0,1.0,-1.0070268,0.7319368,0.7319368,1.0,202.77438,-71.37068,-316.75815,100.38616,-2.5660963e-11,-2.705234e-13,0.7319369,0.7319369,0.7319368,0.039339256,1.0,1.0,1.0,0.7319368,0.7319368,-7.8097194e-08,-4.9718216e-09,1.0,-1.0,1.0,0.99130577,1.0,-4.9718216e-09,0.0,1.0,1.0
-0.294,-1.0,0.0,-100000.0,-0.00022138299,200000.97,-2.3622959,-1.0087705,-1.0087703,1.7964572e-08,-5.489261e-08,0.9913058,-1.7653553e-08,-154.546,251.3835,251.3835,145.60237,-159.88734,1.0,145.6037,228.93227,1.0,1.0,-1.0070268,0.88901645,0.88901645,1.0,194.85587,-40.309864,-302.38275,50.999264,-2.6539933e-11,-2.524704e-13,0.8890165,0.8890165,0.88901645,0.039339226,1.0,1.0,1.0,0.88901645,0.88901645,-8.853646e-08,-5.636406e-09,1.0,-1.0,1.0,0.99130577,1.0,-5.636406e-09,0.0,1.0,1.0
-0.2935,-1.0,0.0,-100000.0,-0.000192168,200000.97,-2.3622959,-1.0087705,-1.0087703,1.8477309e-08,-5.7562282e-08,0.9913058,-1.8157415e-08,-173.88286,280.20514,280.20514,145.60237,-178.21782,1.0,145.6037,228.93227,1.0,1.0,-1.0070268,1.0460961,1.0460961,1.0,182.13934,-8.256484,-280.56174,0.3566019,-2.6616634e-11,-2.3491333e-13,1.0460961,1.0460961,1.0460961,0.03933922,1.0,1.0,1.0,1.0460961,1.0460961,-9.9548124e-08,-6.33743e-09,1.0,-1.0,1.0,0.99130577,1.0,-6.33743e-09,0.0,1.0,1.0
-0.293,-1.0,0.0,-100000.0,-0.0001590939,200000.97,-2.3622959,-1.0087705,-1.0087705,1.8697476e-08,-8.042741e-08,0.99130577,-1.837377e-08,-188.93816,302.12717,302.12717,145.60237,-192.16008,1.0,145.6037,228.93227,1.0,1.0,-1.0070269,1.2031757,1.2031757,1.0,164.93796,24.000198,-251.83234,-50.29484,-2.630538e-11,-2.1812618e-13,1.2031758,1.2031758,1.2031757,0.03933921,1.0,1.0,1.0,1.2031757,1.2031757,-1.1086816e-07,-7.0580857e-09,1.0,-1.0,1.0,0.99130577,1.0,-7.0580857e-09,0.0,1.0,1.0
