Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control1.CB_faults,PCC_Control1.Fault,PCC_Control1.fault_fpu,PCC_Control1.fault_vpu,PCC_Control1.GFL,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error_Limited,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.3,0.5,0.0,50000.0,0.00010623733,50002.895,-10004.916,0.50002646,0.5000265,-1.5023591e-10,-5.4414313e-09,0.999947,-3.0043998e-10,-62.37535,-218.10287,-218.10287,145.06749,121.128914,1.0,72.17238,230.92787,1.0,0.4396739,0.50178665,5.551887,5.551887,1.0,-39.52037,101.89572,-101.45955,319.56244,-1.0790739e-11,-3.3463205e-14,5.5518875,5.5518875,5.551887,0.039682206,1.0,1.0,1.0,5.551887,5.551887,-8.740326e-08,-5.564264e-09,1.0,-1.0,1.0,0.999947,1.0,-5.564264e-09,0.0,1.0,1.0
-0.2995,0.5,0.0,50000.0,0.00010736773,50002.895,-10004.916,0.50002646,0.5000265,-6.12371e-11,1.6204522e-09,0.999947,-1.2246122e-10,-48.83506,-177.39203,-177.39203,145.06749,93.7351,1.0,72.17238,230.92787,1.0,0.43967417,0.50178665,5.7089667,5.7089667,1.0,-53.870358,102.70542,-148.77098,326.16302,-1.0790739e-11,-1.443669e-14,5.7089667,5.7089667,5.7089667,0.039682206,1.0,1.0,1.0,5.7089667,5.7089667,-8.740326e-08,-5.564264e-09,1.0,-1.0,1.0,0.999947,1.0,-5.564264e-09,0.0,1.0,1.0
-0.299,0.5,0.0,50000.0,0.000108337306,50002.895,-10004.916,0.50002646,0.5000265,-4.3261415e-11,-3.8921594e-10,0.999947,-8.6513664e-11,-34.09229,-132.31319,-132.31319,145.06749,64.03322,1.0,72.17238,230.92787,1.0,0.43967444,0.50178665,5.8660464,5.8660464,1.0,-66.89388,100.98617,-192.41919,324.7324,-1.0790739e-11,6.5715027e-15,5.8660464,5.8660464,5.8660464,0.03968222,1.0,1.0,1.0,5.8660464,5.8660464,-8.740326e-08,-5.564264e-09,1.0,-1.0,1.0,0.999947,1.0,-5.564264e-09,0.0,1.0,1.0
-0.2985,0.5,0.0,50000.0,0.00010921698,50002.895,-10004.916,0.50002646,0.5000265,-6.660521e-12,-4.185407e-09,0.999947,-1.3319631e-11,-18.510056,-83.97637,-83.97637,145.06749,32.754623,1.0,72.17238,230.92787,1.0,0.43967468,0.50178665,6.023126,6.023126,1.0,-78.27025,96.780304,-231.32939,315.30576,-1.0790739e-11,2.8616137e-14,6.023126,6.023126,6.023126,0.039682202,1.0,1.0,1.0,6.023126,6.023126,-8.740326e-08,-5.564264e-09,1.0,-1.0,1.0,0.999947,1.0,-5.564264e-09,0.0,1.0,1.0
-0.298,0.5,0.0,50000.0,0.00010982049,50002.895,-10004.916,0.50002646,0.5000265,3.957167e-11,-6.737858e-09,0.999947,7.9134956e-11,-2.4720402,-33.571774,-33.571774,145.06749,0.6695013,1.0,72.17238,230.92787,1.0,0.43967494,0.50178665,6.180206,6.180206,1.0,-87.71935,90.19139,-264.54352,298.11526,-1.0790739e-11,4.4810398e-14,6.180206,6.180206,6.180206,0.039682213,1.0,1.0,1.0,6.180206,6.180206,-8.740326e-08,-5.564264e-09,1.0,-1.0,1.0,0.999947,1.0,-5.564264e-09,0.0,1.0,1.0
-0.2975,0.5,0.0,50000.0,0.00011037313,50002.895,-10004.916,0.50002646,0.5000265,9.453891e-11,-8.324572e-09,0.999947,1.8905778e-10,13.626844,17.659473,17.659475,145.06749,-31.432102,1.0,72.17238,230.92787,1.0,0.4396752,0.50178665,0.05410004,0.05410004,1.0,-95.00851,81.38166,-291.24368,273.5842,-1.0790739e-11,6.662523e-14,0.054100126,0.054100126,0.05410004,0.039682213,1.0,1.0,1.0,0.05410004,0.05410004,-8.740326e-08,-5.564264e-09,1.0,-1.0,1.0,0.999947,1.0,-5.564264e-09,0.0,1.0,1.0
-0.297,0.5,0.0,50000.0,0.000110651796,50002.895,-10004.916,0.50002646,0.5000265,1.0578269e-10,-6.340883e-09,0.999947,2.1154296e-10,29.390192,68.45589,68.45589,145.06749,-62.759747,1.0,72.17238,230.92787,1.0,0.43967548,0.50178665,0.21117967,0.21117967,1.0,-99.95824,70.56805,-310.77246,242.31657,-1.0790739e-11,8.5957236e-14,0.21117976,0.21117976,0.21117967,0.039682213,1.0,1.0,1.0,0.21117967,0.21117967,-8.740326e-08,-5.564264e-09,1.0,-1.0,1.0,0.999947,1.0,-5.564264e-09,0.0,1.0,1.0
-0.2965,0.5,0.0,50000.0,0.000111132584,50002.895,-10004.916,0.50002646,0.50002646,1.9582869e-10,8.764842e-09,0.999947,3.9161588e-10,44.42985,117.56669,117.56669,145.06749,-92.54204,1.0,72.17238,230.92787,1.0,0.43967575,0.50178665,0.3682593,0.3682593,1.0,-102.44666,58.01681,-322.649,205.0823,-1.0790739e-11,1.0561657e-13,0.3682594,0.3682594,0.3682593,0.039682206,1.0,1.0,1.0,0.3682593,0.3682593,-8.740326e-08,-5.564264e-09,1.0,-1.0,1.0,0.999947,1.0,-5.564264e-09,0.0,1.0,1.0
-0.296,0.5,0.0,50000.0,0.00011077257,50002.895,-10004.916,0.50002646,0.5000265,2.597299e-10,1.4510202e-09,0.999947,5.194048e-10,58.375504,163.78261,163.78261,145.06749,-120.04563,1.0,72.17238,230.92787,1.0,0.43967602,0.50178665,0.52533895,0.52533895,1.0,-102.41252,44.037014,-326.58084,162.79823,-1.0790739e-11,1.2476466e-13,0.525339,0.525339,0.52533895,0.039682202,1.0,1.0,1.0,0.52533895,0.52533895,-8.740326e-08,-5.564264e-09,1.0,-1.0,1.0,0.999947,1.0,-5.564264e-09,0.0,1.0,1.0
-0.2955,0.5,0.0,50000.0,0.00011046453,50002.895,-10004.916,0.50002646,0.50002646,1.8298531e-10,-7.509837e-09,0.999947,3.6593184e-10,70.88376,205.96565,205.96565,145.06749,-144.5933,1.0,72.17238,230.92787,1.0,0.43967628,0.50178665,0.6824186,0.6824186,1.0,-99.856636,28.972874,-322.4712,116.50552,-1.0790739e-11,1.4327072e-13,0.68241864,0.68241864,0.6824186,0.039682213,1.0,1.0,1.0,0.6824186,0.6824186,-8.740326e-08,-5.564264e-09,1.0,-1.0,1.0,0.999947,1.0,-5.564264e-09,0.0,1.0,1.0
