Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control1.CB_faults,PCC_Control1.Fault,PCC_Control1.fault_fpu,PCC_Control1.fault_vpu,PCC_Control1.GFL,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error_Limited,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.3,0.7,0.0,70000.0,5.419365e-05,2.6423316,20002.684,0.7027707,0.7027707,-1.2736223e-10,-1.1155458e-08,0.9960574,-1.8051419e-10,56.63132,144.4591,144.4591,105.497574,-100.43153,1.0,101.43599,230.0296,1.0,0.48611474,0.7045198,2.6814625,2.6814625,1.0,86.37688,-143.0082,180.19687,-324.65598,0.0,-4.5666834e-13,2.6814625,2.6814625,2.6814625,0.039527774,1.0,1.0,1.0,2.6814625,2.6814625,-8.740326e-08,-5.564264e-09,1.0,-1.0,1.0,0.9960574,1.0,-5.564264e-09,0.0,1.0,1.0
-0.2995,0.7,0.0,70000.0,5.4162872e-05,2.6423316,20002.684,0.7027707,0.70277077,-9.5660875e-11,-8.1749435e-10,0.9960574,-1.3558295e-10,35.216614,97.08354,97.08354,105.497574,-81.935455,1.0,101.43599,230.0296,1.0,0.48613447,0.70451987,2.8385422,2.8385422,1.0,103.344376,-138.56099,220.34764,-317.43118,0.0,-1.4518847e-13,2.8385422,2.8385422,2.8385422,0.039527778,1.0,1.0,1.0,2.8385422,2.8385422,-8.740326e-08,-5.564264e-09,1.0,-1.0,1.0,0.9960574,1.0,-5.564264e-09,0.0,1.0,1.0
-0.299,0.7,0.0,70000.0,5.3974647e-05,2.6423316,20002.684,0.7027707,0.7027707,-1.2190608e-10,1.1715167e-09,0.9960574,-1.7278103e-10,12.934755,47.31745,47.31745,105.497574,-61.421844,1.0,101.43599,230.0296,1.0,0.48615417,0.70451987,2.9956217,2.9956217,1.0,117.76719,-130.70195,255.07272,-302.39017,0.0,8.230165e-14,2.995622,2.995622,2.9956217,0.039527774,1.0,1.0,1.0,2.9956217,2.9956217,-8.740326e-08,-5.564264e-09,1.0,-1.0,1.0,0.9960574,1.0,-5.564264e-09,0.0,1.0,1.0
-0.2985,0.7,0.0,70000.0,5.4070522e-05,2.6423316,20002.684,0.7027707,0.7027707,-1.604401e-10,-1.0243164e-08,0.9960574,-2.2739644e-10,-9.665598,-3.6137493,-3.6137502,105.497574,-39.39582,1.0,101.43599,230.0296,1.0,0.4861739,0.7045198,3.1527014,3.1527014,1.0,129.29018,-119.62458,283.51706,-279.90332,0.0,2.449812e-13,3.1527014,3.1527014,3.1527014,0.039527774,1.0,1.0,1.0,3.1527014,3.1527014,-8.740326e-08,-5.564264e-09,1.0,-1.0,1.0,0.9960574,1.0,-5.564264e-09,0.0,1.0,1.0
-0.298,0.7,0.0,70000.0,5.426898e-05,2.6423316,20002.684,0.7027707,0.70277077,-1.227913e-10,-3.2699732e-09,0.9960574,-1.7403569e-10,-32.027954,-54.45597,-54.45597,105.497574,-16.399744,1.0,101.43599,230.0296,1.0,0.4861936,0.70451987,3.309781,3.309781,1.0,137.62962,-105.60167,304.9803,-250.5243,0.0,3.6948084e-13,3.309781,3.309781,3.309781,0.03952778,1.0,1.0,1.0,3.309781,3.309781,-8.740326e-08,-5.564264e-09,1.0,-1.0,1.0,0.9960574,1.0,-5.564264e-09,0.0,1.0,1.0
-0.2975,0.7,0.0,70000.0,5.5095323e-05,2.6423316,20002.684,0.7027707,0.7027707,-9.177471e-13,-1.0129662e-08,0.9960574,-1.3007497e-12,-53.601673,-103.9573,-103.9573,105.497574,7.0001407,1.0,101.43599,230.0296,1.0,0.48621333,0.70451987,3.4668608,3.4668608,1.0,142.58017,-88.97849,318.93387,-214.97656,0.0,4.551459e-13,3.4668608,3.4668608,3.4668608,0.03952778,1.0,1.0,1.0,3.4668608,3.4668608,-8.740326e-08,-5.564264e-09,1.0,-1.0,1.0,0.9960574,1.0,-5.564264e-09,0.0,1.0,1.0
-0.297,0.7,0.0,70000.0,5.6113942e-05,2.6423316,20002.684,0.7027707,0.70277077,1.3409378e-10,-7.3125217e-09,0.9960574,1.9005501e-10,-73.85554,-150.89886,-150.89886,105.497574,30.22766,1.0,101.43599,230.0296,1.0,0.48623303,0.7045198,3.6239402,3.6239402,1.0,144.01991,-70.164375,325.03424,-174.13538,0.0,5.175622e-13,3.6239405,3.6239405,3.6239402,0.03952775,1.0,1.0,1.0,3.6239402,3.6239402,-8.740326e-08,-5.564264e-09,1.0,-1.0,1.0,0.9960574,1.0,-5.564264e-09,0.0,1.0,1.0
-0.2965,0.7,0.0,70000.0,5.7459474e-05,2.6423316,20002.684,0.7027707,0.7027707,1.7642021e-10,-1.3081518e-08,0.9960574,2.5004548e-10,-92.29084,-194.12479,-194.12479,105.497574,52.71088,1.0,101.43599,230.0296,1.0,0.48625273,0.7045198,3.78102,3.78102,1.0,141.9134,-49.62257,323.1312,-129.00641,0.0,5.6720866e-13,3.78102,3.78102,3.78102,0.03952777,1.0,1.0,1.0,3.78102,3.78102,-8.740326e-08,-5.564264e-09,1.0,-1.0,1.0,0.9960574,1.0,-5.564264e-09,0.0,1.0,1.0
-0.296,0.7,0.0,70000.0,5.8400576e-05,2.6423316,20002.684,0.7027707,0.70277077,1.1656352e-10,-9.920936e-09,0.9960574,1.6520887e-10,-108.453636,-232.57071,-232.57071,105.497574,73.89619,1.0,101.43599,230.0296,1.0,0.48627245,0.7045198,3.9380996,3.9380996,1.0,136.31253,-27.858894,313.27158,-80.700874,0.0,5.972584e-13,3.9380996,3.9380996,3.9380996,0.03952778,1.0,1.0,1.0,3.9380996,3.9380996,-8.740326e-08,-5.564264e-09,1.0,-1.0,1.0,0.9960574,1.0,-5.564264e-09,0.0,1.0,1.0
-0.2955,0.7,0.0,70000.0,5.8457066e-05,2.6423316,20002.684,0.7027707,0.70277077,6.690052e-11,1.1284635e-09,0.9960574,9.482005e-11,-121.94594,-265.28998,-265.28998,105.497574,93.26192,1.0,101.43599,230.0296,1.0,0.48629215,0.7045198,4.095179,4.095179,1.0,127.35518,-5.409242,295.69818,-30.408209,0.0,6.1597163e-13,4.095179,4.095179,4.095179,0.039527778,1.0,1.0,1.0,4.095179,4.095179,-8.740326e-08,-5.564264e-09,1.0,-1.0,1.0,0.9960574,1.0,-5.564264e-09,0.0,1.0,1.0
-0.295,0.7,0.0,70000.0,5.8327332e-05,2.6423316,20002.684,0.7027707,0.7027707,1.16041246e-10,1.7353226e-08,0.9960574,1.6446863e-10,-132.43553,-291.47693,-291.47693,105.497574,110.33123,1.0,101.43599,230.0296,1.0,0.48631188,0.7045198,4.252259,4.252259,1.0,115.261925,17.173603,270.84372,20.633207,0.0,6.296155e-13,4.252259,4.252259,4.252259,0.03952778,1.0,1.0,1.0,4.252259,4.252259,-8.740326e-08,-5.564264e-09,1.0,-1.0,1.0,0.9960574,1.0,-5.564264e-09,0.0,1.0,1.0
