Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control1.CB_faults,PCC_Control1.Fault,PCC_Control1.fault_fpu,PCC_Control1.fault_vpu,PCC_Control1.GFL,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error_Limited,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.3,-0.1,0.0,-10000.0,0.00030050718,110002.41,3.4939456,-0.10045912,-0.10045919,-7.163727e-10,-5.4384312e-08,0.9954298,7.0983974e-09,-8.537088,7.6777854,7.677783,145.0012,-4.853021,1.0,14.500255,229.88467,1.0,0.97895664,-0.098708384,3.1179738,3.117974,1.0,-13.011013,21.548101,277.63266,-285.31042,3.2464243e-11,8.802967e-13,3.117974,3.117974,3.1179738,0.039502908,1.0,1.0,1.0,3.117974,3.1179738,-1.880195e-07,-1.1969694e-08,1.0,-1.0,1.0,0.9954298,1.0,-1.1969694e-08,0.0,1.0,1.0
-0.2995,-0.1,0.0,-10000.0,0.00031121186,110002.41,3.4939456,-0.10045912,-0.100459196,-1.0079598e-09,-2.8871936e-08,0.9954298,9.987677e-09,-5.310695,-43.260345,-43.26034,145.0012,27.27657,1.0,14.500255,229.88467,1.0,0.9789795,-0.098708384,3.2750535,3.2750537,1.0,-15.568043,20.878738,300.67648,-257.41614,3.2635443e-11,8.473571e-13,3.2750537,3.2750537,3.2750535,0.03950293,1.0,1.0,1.0,3.2750537,3.2750535,-1.8180664e-07,-1.157417e-08,1.0,-1.0,1.0,0.9954298,1.0,-1.157417e-08,0.0,1.0,1.0
-0.299,-0.1,0.0,-10000.0,0.00031552784,110002.41,3.4939456,-0.10045912,-0.100459196,-1.269692e-09,-5.816179e-09,0.9954298,1.258113e-08,-1.9535347,-93.13326,-93.13326,145.0012,58.734406,1.0,14.500255,229.88467,1.0,0.97900236,-0.098708384,3.4321332,3.4321332,1.0,-17.741737,19.695272,316.31668,-223.18343,3.2418276e-11,8.172715e-13,3.4321334,3.4321334,3.4321332,0.039502956,1.0,1.0,1.0,3.4321332,3.4321332,-1.7402573e-07,-1.1078822e-08,1.0,-1.0,1.0,0.9954298,1.0,-1.1078822e-08,0.0,1.0,1.0
-0.2985,-0.1,0.0,-10000.0,0.00031160584,110002.41,3.4939456,-0.10045912,-0.1004592,-1.5157877e-09,2.3052193e-08,0.9954298,1.5019644e-08,1.4517293,-140.71292,-140.71292,145.0012,88.74589,1.0,14.500255,229.88467,1.0,0.9790252,-0.098708384,3.589213,3.589213,1.0,-19.478573,18.026844,324.16812,-183.45518,3.2053703e-11,7.909152e-13,3.589213,3.589213,3.589213,0.039502975,1.0,1.0,1.0,3.589213,3.589213,-1.6489278e-07,-1.04974e-08,1.0,-1.0,1.0,0.9954298,1.0,-1.04974e-08,0.0,1.0,1.0
-0.298,-0.1,0.0,-10000.0,0.00030031294,110002.41,3.4939456,-0.10045912,-0.10045921,-1.7001013e-09,4.2576207e-08,0.9954298,1.6845972e-08,4.8212466,-184.82777,-184.82777,145.0012,116.57203,1.0,14.500255,229.88467,1.0,0.979048,-0.09870839,3.7462926,3.7462926,1.0,-20.735783,15.914536,324.03745,-139.20967,3.2296724e-11,7.6100264e-13,3.7462926,3.7462926,3.7462926,0.039503,1.0,1.0,1.0,3.7462926,3.7462926,-1.5460215e-07,-9.842279e-09,1.0,-1.0,1.0,0.9954298,1.0,-9.842279e-09,0.0,1.0,1.0
-0.2975,-0.1,0.0,-10000.0,0.00028104943,110002.41,3.4939456,-0.10045912,-0.1004592,-1.8497225e-09,6.888113e-08,0.9954298,1.8328539e-08,8.07205,-224.39154,-224.39154,145.0012,141.52766,1.0,14.500255,229.88467,1.0,0.97907084,-0.09870839,3.903372,3.903372,1.0,-21.48241,13.41036,315.9279,-91.53635,3.2458754e-11,7.317478e-13,3.9033723,3.9033723,3.903372,0.039503027,1.0,1.0,1.0,3.903372,3.903372,-1.4332694e-07,-9.124477e-09,1.0,-1.0,1.0,0.9954298,1.0,-9.124477e-09,0.0,1.0,1.0
-0.297,-0.1,0.0,-10000.0,0.00025495657,110002.41,3.4939456,-0.10045912,-0.100459196,-1.9484738e-09,9.222215e-08,0.9954298,1.9307047e-08,11.124094,-258.43005,-258.43005,145.0012,162.9983,1.0,14.500255,229.88467,1.0,0.9790937,-0.098708384,4.060452,4.060452,1.0,-21.70007,10.575976,300.03915,-41.609097,3.274236e-11,7.0236904e-13,4.060452,4.060452,4.060452,0.039503045,1.0,1.0,1.0,4.060452,4.060452,-1.3124223e-07,-8.35514e-09,1.0,-1.0,1.0,0.9954298,1.0,-8.35514e-09,0.0,1.0,1.0
-0.2965,-0.1,0.0,-10000.0,0.00022240396,110002.41,3.4939456,-0.10045912,-0.10045919,-2.0103386e-09,1.1598439e-07,0.9954298,1.9920053e-08,13.9022255,-286.10516,-286.10516,145.0012,180.45526,1.0,14.500255,229.88467,1.0,0.9791165,-0.09870838,4.217531,4.217531,1.0,-21.383402,7.481177,276.76245,9.342709,3.3043793e-11,6.7554507e-13,4.2175317,4.2175317,4.217531,0.039503068,1.0,1.0,1.0,4.217531,4.217531,-1.1860753e-07,-7.55079e-09,1.0,-1.0,1.0,0.9954298,1.0,-7.55079e-09,0.0,1.0,1.0
-0.296,-0.1,0.0,-10000.0,0.0001839941,110002.41,3.4939456,-0.10045912,-0.10045919,-2.00846e-09,1.3022984e-07,0.9954298,1.9901439e-08,16.33804,-306.7354,-306.7354,145.0012,193.4687,1.0,14.500255,229.88467,1.0,0.9791393,-0.09870837,4.374611,4.374611,1.0,-20.540205,4.2021656,246.67094,60.064465,3.3039228e-11,6.472007e-13,4.3746114,4.3746114,4.374611,0.039503083,1.0,1.0,1.0,4.374611,4.374611,-1.05967494e-07,-6.7461e-09,1.0,-1.0,1.0,0.9954298,1.0,-6.7461e-09,0.0,1.0,1.0
-0.2955,-0.1,0.0,-10000.0,0.00014150511,110002.41,3.4939456,-0.10045912,-0.100459166,-1.9703332e-09,1.4610265e-07,0.9954298,1.9523648e-08,18.371557,-319.8128,-319.8128,145.0012,201.71817,1.0,14.500255,229.88467,1.0,0.97916216,-0.09870836,4.5316906,4.5316906,1.0,-19.19124,0.81968296,210.50558,109.307236,3.3057303e-11,4.934752e-13,4.5316906,4.5316906,4.5316906,0.039503098,1.0,1.0,1.0,4.5316906,4.5316906,-9.344936e-08,-5.949171e-09,1.0,-1.0,1.0,0.9954298,1.0,-5.949171e-09,0.0,1.0,1.0
