Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control1.CB_faults,PCC_Control1.Fault,PCC_Control1.fault_fpu,PCC_Control1.fault_vpu,PCC_Control1.GFL,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.3,1.0,0.0,100000.0,-0.000119529264,-90000.46,1.4828793,0.9966538,0.9966538,1.4247081e-09,9.175476e-08,1.0033574,1.4342909e-09,-100.85087,-173.25247,-173.25246,14.382253,10.752832,1.0,143.85435,231.71547,1.0,-0.78760076,0.9984185,5.7261167,5.7261167,1.0,-103.1083,203.95917,-154.25919,327.51166,-2.8021632e-11,1.7980703e-13,5.726117,5.726117,5.7261167,0.03981764,1.0,1.0,1.0,5.7261167,5.7261167,-1.13080844e-07,-4.7993e-09,1.0,-1.0,1.0,1.0033574,1.0,0.0,1.0,1.0
-0.2995,1.0,0.0,100000.0,-0.0001418087,-90000.46,1.4828793,0.9966538,0.99665385,-1.7302314e-10,5.4982756e-08,1.0033574,-1.7418691e-10,-71.87567,-127.6071,-127.6071,14.382253,7.9198413,1.0,143.85435,231.71547,1.0,-0.7876175,0.99841857,5.8831964,5.8831964,1.0,-129.36855,201.24422,-197.58775,325.19485,-2.7601798e-11,1.7275068e-13,5.883197,5.883197,5.8831964,0.03981764,1.0,1.0,1.0,5.8831964,5.8831964,-1.1255707e-07,-4.7770703e-09,1.0,-1.0,1.0,1.0033574,1.0,0.0,1.0,1.0
-0.299,1.0,0.0,100000.0,-0.00016342248,-90000.46,1.4828793,0.9966538,0.9966538,-1.6851911e-09,7.110095e-08,1.0033574,-1.6965259e-09,-41.130653,-78.81965,-78.81965,14.382253,4.891769,1.0,143.85435,231.71547,1.0,-0.7876343,0.9984185,6.040276,6.040276,1.0,-152.4433,193.57394,-236.05104,314.8707,-2.7644166e-11,1.6408306e-13,6.040276,6.040276,6.040276,0.03981763,1.0,1.0,1.0,6.040276,6.040276,-1.1383267e-07,-4.8312083e-09,1.0,-1.0,1.0,1.0033574,1.0,0.0,1.0,1.0
-0.2985,1.0,0.0,100000.0,-0.00017702064,-90000.46,1.4828793,0.9966538,0.99665385,-3.3481868e-09,4.2288313e-08,1.0033574,-3.3707073e-09,-9.372865,-28.091377,-28.091377,14.382253,1.7431917,1.0,143.85435,231.71547,1.0,-0.7876511,0.9984185,6.1973557,6.1973557,1.0,-171.76439,181.13725,-268.702,296.79337,-2.8324633e-11,1.592744e-13,6.1973557,6.1973557,6.1973557,0.039817605,1.0,1.0,1.0,6.1973557,6.1973557,-1.1673697e-07,-4.954471e-09,1.0,-1.0,1.0,1.0033574,1.0,0.0,1.0,1.0
-0.298,1.0,0.0,100000.0,-0.00018893104,-90000.46,1.4828793,0.9966538,0.99665385,-4.5995976e-09,2.9413874e-09,1.0033574,-4.630535e-09,22.615713,23.328583,23.328583,14.382253,-1.4483728,1.0,143.85435,231.71547,1.0,-0.7876679,0.99841857,0.071250096,0.071250044,1.0,-186.85608,164.24037,-294.73657,271.408,-2.9858966e-11,1.5173415e-13,0.071250215,0.071250215,0.071250096,0.03981757,1.0,1.0,1.0,0.071250044,0.071250096,-1.2108735e-07,-5.139107e-09,1.0,-1.0,1.0,1.0033574,1.0,0.0,1.0,1.0
-0.2975,1.0,0.0,100000.0,-0.00019260324,-90000.46,1.4828793,0.9966538,0.99665385,-5.977621e-09,-1.570683e-08,1.0033574,-6.0178276e-09,54.04742,74.174126,74.174126,14.382253,-4.6043253,1.0,143.85435,231.71547,1.0,-0.7876847,0.99841857,0.22832972,0.22832967,1.0,-197.34676,143.29933,-313.5138,239.33968,-3.181346e-11,1.4367519e-13,0.22832984,0.22832984,0.22832972,0.039817575,1.0,1.0,1.0,0.22832967,0.22832972,-1.2671019e-07,-5.377748e-09,1.0,-1.0,1.0,1.0033574,1.0,0.0,1.0,1.0
-0.297,1.0,0.0,100000.0,-0.00019314869,-90000.46,1.4828793,0.9966538,0.99665385,-6.902401e-09,-9.9154995e-09,1.0033574,-6.9488273e-09,84.1483,123.19325,123.193245,14.382253,-7.6469674,1.0,143.85435,231.71547,1.0,-0.7877014,0.99841857,0.38540936,0.3854093,1.0,-202.9781,118.8298,-324.57126,201.378,-3.3216884e-11,1.3599203e-13,0.38540947,0.38540947,0.38540936,0.039817538,1.0,1.0,1.0,0.3854093,0.38540936,-1.3343161e-07,-5.6630136e-09,1.0,-1.0,1.0,1.0033574,1.0,0.0,1.0,1.0
-0.2965,1.0,0.0,100000.0,-0.0001863483,-90000.46,1.4828793,0.9966538,0.99665385,-7.860193e-09,-3.636468e-08,1.0033574,-7.913062e-09,112.17717,169.17894,169.17896,14.382253,-10.501366,1.0,143.85435,231.71547,1.0,-0.78771824,0.99841857,0.542489,0.54248893,1.0,-203.61145,91.43428,-327.6367,158.45775,-3.4295743e-11,1.2852375e-13,0.5424891,0.5424891,0.542489,0.039817523,1.0,1.0,1.0,0.54248893,0.542489,-1.4110651e-07,-5.9887464e-09,1.0,-1.0,1.0,1.0033574,1.0,0.0,1.0,1.0
-0.296,1.0,0.0,100000.0,-0.00017561424,-90000.46,1.4828793,0.9966538,0.99665385,-8.64378e-09,-4.8461025e-08,1.0033574,-8.701919e-09,137.44386,210.9989,210.9989,14.382253,-13.097253,1.0,143.85435,231.71547,1.0,-0.787735,0.99841857,0.69956857,0.69956857,1.0,-199.23122,61.787342,-322.6346,111.63573,-3.502094e-11,1.2062725e-13,0.69956875,0.69956875,0.69956857,0.039817497,1.0,1.0,1.0,0.69956857,0.69956857,-1.4959706e-07,-6.3490964e-09,1.0,-1.0,1.0,1.0033574,1.0,0.0,1.0,1.0
-0.2955,1.0,0.0,100000.0,-0.00016062359,-90000.46,1.4828793,0.9966538,0.99665385,-9.282135e-09,-6.244992e-08,1.0033574,-9.344569e-09,159.32625,247.62335,247.62335,14.382253,-15.370697,1.0,143.85435,231.71547,1.0,-0.7877518,0.99841857,0.8566482,0.8566482,1.0,-189.94524,30.618996,-309.68823,62.06487,-3.5249907e-11,1.12207234e-13,0.8566484,0.8566484,0.8566482,0.039817516,1.0,1.0,1.0,0.8566482,0.8566482,-1.587611e-07,-6.7380306e-09,1.0,-1.0,1.0,1.0033574,1.0,0.0,1.0,1.0
