Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control1.CB_faults,PCC_Control1.Fault,PCC_Control1.fault_fpu,PCC_Control1.fault_vpu,PCC_Control1.GFL,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.295,1.0,0.0,100000.0,3.192569e-05,-50002.633,-10000.54,0.996156,0.996156,2.5075578e-10,2.460212e-08,1.0038589,2.5269478e-10,29.02544,33.698036,33.698036,73.30904,-30.676222,1.0,143.7825,231.83128,1.0,-0.37546507,0.99792296,0.10296382,0.10296382,1.0,-189.26413,160.2387,-299.27945,265.5814,-4.369546e-12,-3.4209218e-14,0.102963954,0.102963954,0.10296382,0.039837375,1.0,1.0,1.0,0.10296382,0.10296382,-1.3468537e-07,-5.716225e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
-0.2945,1.0,0.0,100000.0,3.1073283e-05,-50002.633,-10000.54,0.996156,0.9961559,4.2905327e-10,1.6609821e-11,1.0038589,4.3237097e-10,60.234303,84.299965,84.299965,73.30904,-45.7906,1.0,143.7825,231.83128,1.0,-0.37548435,0.99792296,0.26004344,0.26004344,1.0,-198.78484,138.55052,-316.53793,232.23796,-4.4725833e-12,-4.144496e-14,0.2600436,0.2600436,0.26004344,0.03983739,1.0,1.0,1.0,0.26004344,0.26004344,-1.3447449e-07,-5.7072747e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
-0.294,1.0,0.0,100000.0,3.0868476e-05,-50002.633,-10000.54,0.996156,0.996156,5.625869e-10,6.184322e-09,1.0038589,5.6693716e-10,89.96,132.82616,132.82616,73.30904,-59.777462,1.0,143.7825,231.83128,1.0,-0.37550366,0.99792296,0.41712308,0.41712308,1.0,-203.41078,113.45078,-326.00223,193.17607,-4.474388e-12,-4.828182e-14,0.41712323,0.41712323,0.41712308,0.039837383,1.0,1.0,1.0,0.41712308,0.41712308,-1.3426448e-07,-5.6983613e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
-0.2935,1.0,0.0,100000.0,3.0755986e-05,-50002.633,-10000.54,0.996156,0.996156,5.021233e-10,7.7300495e-09,1.0038589,5.06006e-10,117.47058,178.08171,178.08171,73.30904,-72.29241,1.0,143.7825,231.83128,1.0,-0.37552294,0.99792296,0.5742027,0.5742027,1.0,-203.02809,85.55751,-327.43924,149.35753,-4.538996e-12,-5.47333e-14,0.57420284,0.57420284,0.5742027,0.03983737,1.0,1.0,1.0,0.5742027,0.5742027,-1.3405646e-07,-5.6895333e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
-0.293,1.0,0.0,100000.0,3.044125e-05,-50002.633,-10000.54,0.996156,0.996156,3.923e-10,2.2086232e-08,1.0038589,3.9533352e-10,142.08865,218.95232,218.95232,73.30904,-83.02728,1.0,143.7825,231.83128,1.0,-0.37554222,0.99792296,0.73128235,0.73128235,1.0,-197.64616,55.55752,-320.81363,101.861305,-4.6475913e-12,-6.158873e-14,0.7312825,0.7312825,0.73128235,0.039837394,1.0,1.0,1.0,0.73128235,0.73128235,-1.3385358e-07,-5.680922e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
-0.2925,1.0,0.0,100000.0,2.9526336e-05,-50002.633,-10000.54,0.996156,0.99615604,3.5332684e-10,1.1153762e-08,1.0038589,3.56059e-10,163.20802,254.43158,254.43158,73.30904,-91.71774,1.0,143.7825,231.83128,1.0,-0.37556154,0.997923,0.888362,0.888362,1.0,-187.39755,24.189524,-306.2885,51.856926,-4.7407182e-12,-6.664539e-14,0.8883621,0.8883621,0.888362,0.039837375,1.0,1.0,1.0,0.888362,0.888362,-1.3365556e-07,-5.6725185e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
-0.292,1.0,0.0,100000.0,2.860923e-05,-50002.633,-10000.54,0.996156,0.996156,3.2062966e-10,2.5610905e-09,1.0038589,3.2310896e-10,180.30867,283.6459,283.6459,73.30904,-98.1498,1.0,143.7825,231.83128,1.0,-0.37558082,0.997923,1.0454416,1.0454416,1.0,-172.53458,-7.7741,-284.22156,0.5756571,-4.832482e-12,-7.207477e-14,1.0454417,1.0454417,1.0454416,0.039837364,1.0,1.0,1.0,1.0454416,1.0454416,-1.3346215e-07,-5.66431e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
-0.2915,1.0,0.0,100000.0,2.769327e-05,-50002.633,-10000.54,0.996156,0.99615604,2.5111704e-10,1.4284691e-08,1.0038589,2.5305882e-10,192.96953,305.87592,305.87592,73.30904,-102.165085,1.0,143.7825,231.83128,1.0,-0.37560013,0.997923,1.2025212,1.2025212,1.0,-153.42322,-39.5463,-255.15613,-50.719788,-4.840327e-12,-7.8367786e-14,1.2025213,1.2025213,1.2025212,0.039837386,1.0,1.0,1.0,1.2025212,1.2025212,-1.3327572e-07,-5.656397e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
-0.291,1.0,0.0,100000.0,2.6629907e-05,-50002.633,-10000.54,0.996156,0.99615604,2.296084e-10,-8.055587e-09,1.0038589,2.3138388e-10,200.87881,320.57425,320.57425,73.30904,-103.664734,1.0,143.7825,231.83128,1.0,-0.3756194,0.99792296,1.3596009,1.3596009,1.0,-130.53409,-70.34474,-219.8079,-100.76634,-4.7554113e-12,-8.531978e-14,1.359601,1.359601,1.3596009,0.039837368,1.0,1.0,1.0,1.3596009,1.3596009,-1.3309445e-07,-5.6487037e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
-0.2905,1.0,0.0,100000.0,2.560601e-05,-50002.633,-10000.54,0.996156,0.996156,1.6807654e-10,7.548129e-09,1.0038589,1.6937621e-10,203.84181,327.379,327.379,73.30904,-102.61181,1.0,143.7825,231.83128,1.0,-0.37563872,0.99792296,1.5166805,1.5166805,1.0,-104.43076,-99.41106,-179.04729,-148.3317,-4.6642963e-12,-9.052515e-14,1.5166806,1.5166806,1.5166805,0.039837375,1.0,1.0,1.0,1.5166805,1.5166805,-1.3292102e-07,-5.641343e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
