Time,Fg_Input,MS_S3.Freq_Grid,MS_S3.Sfb,MS_S3.VAn_RMS_Grid,MS_S3.Van_Grid,PCC_Control1.CB_faults,PCC_Control1.Fault,PCC_Control1.fault_fpu,PCC_Control1.fault_vpu,Vg_Input
-0.024,1.0,50.0,1.0,231.7977,-189.19484,1.0,-1.0,1.0,1.0037135,1.0
-0.0235,1.0,50.0,1.0,231.7977,-144.98723,1.0,-1.0,1.0,1.0037135,1.0
-0.023,1.0,50.0,1.0,231.7977,-97.20962,1.0,-1.0,1.0,1.0037135,1.0
-0.0225,1.0,50.0,1.0,231.7977,-47.03833,1.0,-1.0,1.0,1.0037135,1.0
-0.022,1.0,50.0,1.0,231.7977,4.29113,1.0,-1.0,1.0,1.0037135,1.0
-0.0215,1.0,50.0,1.0,231.7977,55.514988,1.0,-1.0,1.0,1.0037135,1.0
-0.021,1.0,50.0,1.0,231.7977,105.37187,1.0,-1.0,1.0,1.0037135,1.0
-0.0205,1.0,50.0,1.0,231.7977,152.63416,1.0,-1.0,1.0,1.0037135,1.0
-0.02,1.0,50.0,1.0,231.7977,196.13805,1.0,-1.0,1.0,1.0037135,1.0
-0.0195,1.0,50.0,1.0,231.7977,234.81238,1.0,-1.0,1.0,1.0037135,1.0
-0.019,1.0,50.0,1.0,231.7977,267.70486,1.0,-1.0,1.0,1.0037135,1.0
-0.0185,1.0,50.0,1.0,231.7977,294.00558,1.0,-1.0,1.0,1.0037135,1.0
-0.018,1.0,50.0,1.0,231.7977,313.06686,1.0,-1.0,1.0,1.0037135,1.0
-0.0175,1.0,50.0,1.0,231.7977,324.41943,1.0,-1.0,1.0,1.0037135,1.0
-0.017,1.0,50.0,1.0,231.7977,327.78375,1.0,-1.0,1.0,1.0037135,1.0
-0.0165,1.0,50.0,1.0,231.7977,323.07687,1.0,-1.0,1.0,1.0037135,1.0
-0.016,1.0,50.0,1.0,231.7977,310.4148,1.0,-1.0,1.0,1.0037135,1.0
-0.0155,1.0,50.0,1.0,231.7977,290.10928,1.0,-1.0,1.0,1.0037135,1.0
-0.015,1.0,50.0,1.0,231.7977,262.6603,1.0,-1.0,1.0,1.0037135,1.0
-0.0145,1.0,50.0,1.0,231.7977,228.74379,1.0,-1.0,1.0,1.0037135,1.0
-0.014,1.0,50.0,1.0,231.7977,189.19482,1.0,-1.0,1.0,1.0037135,1.0
-0.0135,1.0,50.0,1.0,231.7977,144.98726,1.0,-1.0,1.0,1.0037135,1.0
-0.013,1.0,50.0,1.0,231.7977,97.20964,1.0,-1.0,1.0,1.0037135,1.0
-0.0125,1.0,50.0,1.0,231.7977,47.038357,1.0,-1.0,1.0,1.0037135,1.0
-0.012,1.0,50.0,1.0,231.7977,-4.2911577,1.0,-1.0,1.0,1.0037135,1.0
-0.0115,1.0,50.0,1.0,231.7977,-55.514965,1.0,-1.0,1.0,1.0037135,1.0
-0.011,1.0,50.0,1.0,231.7977,-105.37188,1.0,-1.0,1.0,1.0037135,1.0
-0.0105,1.0,50.0,1.0,231.7977,-152.63416,1.0,-1.0,1.0,1.0037135,1.0
-0.01,1.0,50.0,1.0,231.7977,-196.13806,1.0,-1.0,1.0,1.0037135,1.0
-0.0095,1.0,50.0,1.0,231.7977,-234.81241,1.0,-1.0,1.0,1.0037135,1.0
-0.009,1.0,50.0,1.0,231.7977,-267.70483,1.0,-1.0,1.0,1.0037135,1.0
-0.0085,1.0,50.0,1.0,231.7977,-294.00558,1.0,-1.0,1.0,1.0037135,1.0
-0.008,1.0,50.0,1.0,231.7977,-313.06686,1.0,-1.0,1.0,1.0037135,1.0
-0.0075,1.0,50.0,1.0,231.7977,-324.41946,1.0,-1.0,1.0,1.0037135,1.0
-0.007,1.0,50.0,1.0,231.7977,-327.78372,1.0,-1.0,1.0,1.0037135,1.0
-0.0065,1.0,50.0,1.0,231.7977,-323.07687,1.0,-1.0,1.0,1.0037135,1.0
-0.006,1.0,50.0,1.0,231.7977,-310.4148,1.0,-1.0,1.0,1.0037135,1.0
-0.0055,1.0,50.0,1.0,231.7977,-290.10928,1.0,-1.0,1.0,1.0037135,1.0
-0.005,1.0,50.0,1.0,231.7977,-262.6603,1.0,-1.0,1.0,1.0037135,1.0
-0.0045,1.0,50.0,1.0,231.7977,-228.7438,1.0,-1.0,1.0,1.0037135,1.0
-0.004,1.0,50.0,1.0,231.7977,-189.19484,1.0,-1.0,1.0,1.0037135,1.0
-0.0035,1.0,50.0,1.0,231.7977,-144.98724,1.0,-1.0,1.0,1.0037135,1.0
-0.003,1.0,50.0,1.0,231.7977,-97.20963,1.0,-1.0,1.0,1.0037135,1.0
-0.0025,1.0,50.0,1.0,231.7977,-47.038345,1.0,-1.0,1.0,1.0037135,1.0
-0.002,1.0,50.0,1.0,231.7977,4.2911263,1.0,-1.0,1.0,1.0037135,1.0
-0.0015,1.0,50.0,1.0,231.7977,55.514988,1.0,-1.0,1.0,1.0037135,1.0
-0.001,1.0,50.0,1.0,231.7977,105.37186,1.0,-1.0,1.0,1.0037135,1.0
-0.0005,1.0,50.0,1.0,231.7977,152.63414,1.0,-1.0,1.0,1.0037135,1.0
0.0,1.0,50.0,1.0,231.7977,196.70062,1.0,-1.0,1.0,1.0037135,1.2
0.0005,1.0,49.99998,1.0,231.7977,254.6171,1.0,-1.0,0.99999964,1.0037135,1.2
0.001,1.0,49.99988,1.0,231.7977,305.0303,1.0,-1.0,0.9999977,1.0037135,1.2
0.0015,1.0,49.999683,1.0,231.7977,345.19302,1.0,-1.0,0.9999936,1.0037135,1.2
0.002,1.0,49.99935,1.0,231.7977,373.79977,1.0,-1.0,0.999987,1.0037135,1.2
0.0025,1.0,49.99886,1.0,231.7977,390.5498,1.0,-1.0,0.9999772,1.0037135,1.2
0.003,1.0,49.998177,1.0,231.7977,395.76044,1.0,-1.0,0.9999635,1.0037135,1.2
0.0035,1.0,49.997288,1.0,231.7977,390.07617,1.0,-1.0,0.9999457,1.0037135,1.2
0.004,1.0,49.996178,1.0,231.7977,374.2859,1.0,-1.0,0.9999236,1.0037135,1.2
0.0045,1.0,49.99487,1.0,231.7977,349.23135,1.0,-1.0,0.9998974,1.0037135,1.2
0.005,1.0,49.99339,1.0,231.7977,315.78354,1.0,-1.0,0.9998678,1.0037135,1.2
0.0055,1.0,49.991787,1.0,231.7977,274.85812,1.0,-1.0,0.9998357,1.0037135,1.2
0.006,1.0,49.99011,1.0,231.7977,227.4456,1.0,-1.0,0.9998021,1.0037135,1.2
0.0065,1.0,49.988396,1.0,231.7977,174.63873,1.0,-1.0,0.9997679,1.0037135,1.2
0.007,1.0,49.986687,1.0,231.7977,117.64669,1.0,-1.0,0.99973375,1.0037135,1.2
0.0075,1.0,49.98501,1.0,231.7977,57.792164,1.0,-1.0,0.9997002,1.0037135,1.2
0.008,1.0,49.983383,1.0,254.82088,-3.5079236,1.0,-1.0,0.9996677,1.1034068,1.2
