Time,Fg_Input,MS_S3.Freq_Grid,MS_S3.Sfb,MS_S3.VAn_RMS_Grid,MS_S3.Van_Grid,PCC_Control1.CB_faults,PCC_Control1.Fault,PCC_Control1.fault_fpu,PCC_Control1.fault_vpu,Vg_Input
-0.024,1.0,50.0,1.0,231.7977,239.83131,1.0,-1.0,1.0,1.0037135,1.0
-0.0235,1.0,50.0,1.0,231.7977,201.91934,1.0,-1.0,1.0,1.0037135,1.0
-0.023,1.0,50.0,1.0,231.7977,159.03548,1.0,-1.0,1.0,1.0037135,1.0
-0.0225,1.0,50.0,1.0,231.7977,112.23559,1.0,-1.0,1.0,1.0037135,1.0
-0.022,1.0,50.0,1.0,231.7977,62.672077,1.0,-1.0,1.0,1.0037135,1.0
-0.0215,1.0,50.0,1.0,231.7977,11.565412,1.0,-1.0,1.0,1.0037135,1.0
-0.021,1.0,50.0,1.0,231.7977,-39.826065,1.0,-1.0,1.0,1.0037135,1.0
-0.0205,1.0,50.0,1.0,231.7977,-90.23688,1.0,-1.0,1.0,1.0037135,1.0
-0.02,1.0,50.0,1.0,231.7977,-138.42575,1.0,-1.0,1.0,1.0037135,1.0
-0.0195,1.0,50.0,1.0,231.7977,-183.20615,1.0,-1.0,1.0,1.0037135,1.0
-0.019,1.0,50.0,1.0,231.7977,-223.47533,1.0,-1.0,1.0,1.0037135,1.0
-0.0185,1.0,50.0,1.0,231.7977,-258.24188,1.0,-1.0,1.0,1.0037135,1.0
-0.018,1.0,50.0,1.0,231.7977,-286.64966,1.0,-1.0,1.0,1.0037135,1.0
-0.0175,1.0,50.0,1.0,231.7977,-307.99915,1.0,-1.0,1.0,1.0037135,1.0
-0.017,1.0,50.0,1.0,231.7977,-321.76468,1.0,-1.0,1.0,1.0037135,1.0
-0.0165,1.0,50.0,1.0,231.7977,-327.60727,1.0,-1.0,1.0,1.0037135,1.0
-0.016,1.0,50.0,1.0,231.7977,-325.38312,1.0,-1.0,1.0,1.0037135,1.0
-0.0155,1.0,50.0,1.0,231.7977,-315.14697,1.0,-1.0,1.0,1.0037135,1.0
-0.015,1.0,50.0,1.0,231.7977,-297.15082,1.0,-1.0,1.0,1.0037135,1.0
-0.0145,1.0,50.0,1.0,231.7977,-271.8379,1.0,-1.0,1.0,1.0037135,1.0
-0.014,1.0,50.0,1.0,231.7977,-239.83133,1.0,-1.0,1.0,1.0037135,1.0
-0.0135,1.0,50.0,1.0,231.7977,-201.91934,1.0,-1.0,1.0,1.0037135,1.0
-0.013,1.0,50.0,1.0,231.7977,-159.03548,1.0,-1.0,1.0,1.0037135,1.0
-0.0125,1.0,50.0,1.0,231.7977,-112.23558,1.0,-1.0,1.0,1.0037135,1.0
-0.012,1.0,50.0,1.0,231.7977,-62.672115,1.0,-1.0,1.0,1.0037135,1.0
-0.0115,1.0,50.0,1.0,231.7977,-11.565422,1.0,-1.0,1.0,1.0037135,1.0
-0.011,1.0,50.0,1.0,231.7977,39.82605,1.0,-1.0,1.0,1.0037135,1.0
-0.0105,1.0,50.0,1.0,231.7977,90.23686,1.0,-1.0,1.0,1.0037135,1.0
-0.01,1.0,50.0,1.0,231.7977,138.42572,1.0,-1.0,1.0,1.0037135,1.0
-0.0095,1.0,50.0,1.0,231.7977,183.20612,1.0,-1.0,1.0,1.0037135,1.0
-0.009,1.0,50.0,1.0,231.7977,223.47534,1.0,-1.0,1.0,1.0037135,1.0
-0.0085,1.0,50.0,1.0,231.7977,258.24188,1.0,-1.0,1.0,1.0037135,1.0
-0.008,1.0,50.0,1.0,231.7977,286.64966,1.0,-1.0,1.0,1.0037135,1.0
-0.0075,1.0,50.0,1.0,231.7977,307.9991,1.0,-1.0,1.0,1.0037135,1.0
-0.007,1.0,50.0,1.0,231.7977,321.76468,1.0,-1.0,1.0,1.0037135,1.0
-0.0065,1.0,50.0,1.0,231.7977,327.60727,1.0,-1.0,1.0,1.0037135,1.0
-0.006,1.0,50.0,1.0,231.7977,325.38315,1.0,-1.0,1.0,1.0037135,1.0
-0.0055,1.0,50.0,1.0,231.7977,315.14697,1.0,-1.0,1.0,1.0037135,1.0
-0.005,1.0,50.0,1.0,231.7977,297.15082,1.0,-1.0,1.0,1.0037135,1.0
-0.0045,1.0,50.0,1.0,231.7977,271.83786,1.0,-1.0,1.0,1.0037135,1.0
-0.004,1.0,50.0,1.0,231.7977,239.83133,1.0,-1.0,1.0,1.0037135,1.0
-0.0035,1.0,50.0,1.0,231.7977,201.91937,1.0,-1.0,1.0,1.0037135,1.0
-0.003,1.0,50.0,1.0,231.7977,159.03549,1.0,-1.0,1.0,1.0037135,1.0
-0.0025,1.0,50.0,1.0,231.7977,112.235596,1.0,-1.0,1.0,1.0037135,1.0
-0.002,1.0,50.0,1.0,231.7977,62.672092,1.0,-1.0,1.0,1.0037135,1.0
-0.0015,1.0,50.0,1.0,231.7977,11.565448,1.0,-1.0,1.0,1.0037135,1.0
-0.001,1.0,50.0,1.0,231.7977,-39.82605,1.0,-1.0,1.0,1.0037135,1.0
-0.0005,1.0,50.0,1.0,231.7977,-90.23686,1.0,-1.0,1.0,1.0037135,1.0
0.0,1.0,50.0,1.0,231.7977,-141.30957,1.0,-1.0,1.0,1.0037135,1.2
0.0005,1.0,49.99998,1.0,231.7977,-201.62154,1.0,-1.0,0.9999996,1.0037135,1.2
0.001,1.0,49.999878,1.0,231.7977,-257.05447,1.0,-1.0,0.99999756,1.0037135,1.2
0.0015,1.0,49.99967,1.0,231.7977,-304.62772,1.0,-1.0,0.9999934,1.0037135,1.2
0.002,1.0,49.999332,1.0,231.7977,-342.6356,1.0,-1.0,0.99998665,1.0037135,1.2
0.0025,1.0,49.998833,1.0,231.7977,-370.29782,1.0,-1.0,0.99997663,1.0037135,1.2
0.003,1.0,49.99814,1.0,231.7977,-387.43167,1.0,-1.0,0.9999628,1.0037135,1.2
0.0035,1.0,49.99724,1.0,231.7977,-394.19748,1.0,-1.0,0.99994475,1.0037135,1.2
0.004,1.0,49.99612,1.0,231.7977,-390.93454,1.0,-1.0,0.99992245,1.0037135,1.2
0.0045,1.0,49.994804,1.0,231.7977,-378.07837,1.0,-1.0,0.99989605,1.0037135,1.2
0.005,1.0,49.993317,1.0,231.7977,-356.13885,1.0,-1.0,0.9998663,1.0037135,1.2
0.0055,1.0,49.991707,1.0,231.7977,-325.71463,1.0,-1.0,0.9998341,1.0037135,1.2
0.006,1.0,49.990025,1.0,231.7977,-287.5224,1.0,-1.0,0.9998005,1.0037135,1.2
0.0065,1.0,49.988316,1.0,231.7977,-242.42354,1.0,-1.0,0.9997663,1.0037135,1.2
0.007,1.0,49.986607,1.0,231.7977,-191.4392,1.0,-1.0,0.99973214,1.0037135,1.2
0.0075,1.0,49.984932,1.0,231.7977,-135.74832,1.0,-1.0,0.99969864,1.0037135,1.2
0.008,1.0,49.983307,1.0,231.7977,-76.670265,1.0,-1.0,0.99966615,1.0037135,1.2
0.0085,1.0,49.98176,1.0,231.7977,-15.634134,1.0,-1.0,0.99963516,1.0037135,1.2
0.009,1.0,49.98029,1.0,231.7977,45.86115,1.0,-1.0,0.9996058,1.0037135,1.2
0.0095,1.0,49.97891,1.0,231.7977,106.290535,1.0,-1.0,0.9995782,1.0037135,1.2
0.01,1.0,49.97762,1.0,231.7977,164.14801,1.0,-1.0,0.9995524,1.0037135,1.2
0.0105,1.0,49.976425,1.0,231.7977,217.98969,1.0,-1.0,0.9995285,1.0037135,1.2
0.011,1.0,49.975323,1.0,231.7977,266.4734,1.0,-1.0,0.9995065,1.0037135,1.2
0.0115,1.0,49.97431,1.0,231.7977,308.39377,1.0,-1.0,0.99948627,1.0037135,1.2
0.012,1.0,49.97339,1.0,231.7977,342.7122,1.0,-1.0,0.99946773,1.0037135,1.2
0.0125,1.0,49.972546,1.0,231.7977,368.5816,1.0,-1.0,0.99945086,1.0037135,1.2
0.013,1.0,49.97178,1.0,231.7977,385.36633,1.0,-1.0,0.9994356,1.0037135,1.2
0.0135,1.0,49.97109,1.0,231.7977,392.6561,1.0,-1.0,0.9994218,1.0037135,1.2
0.014,1.0,49.970467,1.0,231.7977,390.27478,1.0,-1.0,0.9994094,1.0037135,1.2
0.0145,1.0,49.969913,1.0,231.7977,378.2844,1.0,-1.0,0.9993983,1.0037135,1.2
0.015,1.0,49.96942,1.0,231.7977,356.98254,1.0,-1.0,0.99938846,1.0037135,1.2
0.0155,1.0,49.96899,1.0,231.7977,326.89526,1.0,-1.0,0.9993798,1.0037135,1.2
0.016,1.0,49.968616,1.0,231.7977,288.76385,1.0,-1.0,0.99937236,1.0037135,1.2
0.0165,1.0,49.968296,1.0,231.7977,243.527,1.0,-1.0,0.9993659,1.0037135,1.2
0.017,1.0,49.96803,1.0,231.7977,192.2978,1.0,-1.0,0.99936056,1.0037135,1.2
0.0175,1.0,49.96781,1.0,231.7977,136.33658,1.0,-1.0,0.9993562,1.0037135,1.2
0.018,1.0,49.96764,1.0,231.7977,77.02023,1.0,-1.0,0.9993528,1.0037135,1.2
0.0185,1.0,49.967514,1.0,277.57953,15.80813,1.0,-1.0,0.9993503,1.2019546,1.2
0.019,1.0,49.96743,1.0,277.57953,-45.79341,1.0,-1.0,0.99934864,1.2019546,1.2
0.0195,1.0,49.967392,1.0,277.57953,-106.26834,1.0,-1.0,0.9993478,1.2019546,1.2
0.02,1.0,49.96739,1.0,277.57953,-164.12822,1.0,-1.0,0.9993478,1.2019546,1.2
0.0205,1.0,49.967426,1.0,277.57953,-217.94893,1.0,-1.0,0.9993485,1.2019546,1.2
0.021,1.0,49.9675,1.0,277.57953,-266.40546,1.0,-1.0,0.99934995,1.2019546,1.2
0.0215,1.0,49.967606,1.0,277.57953,-308.30493,1.0,-1.0,0.9993521,1.2019546,1.2
0.022,1.0,49.967743,1.0,277.57953,-342.61594,1.0,-1.0,0.99935484,1.2019546,1.2
0.0225,1.0,49.96791,1.0,277.57953,-368.49356,1.0,-1.0,0.99935824,1.2019546,1.2
0.023,1.0,49.96811,1.0,277.57953,-385.3007,1.0,-1.0,0.9993622,1.2019546,1.2
