Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,PCC_Control.CB_faults,PCC_Control.fault_vpu,PCC_Control.fault_fpu,PCC_Control.Fault,PCC_Control.GFL,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control.d_2_f,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.298,0.5,0.0,50000.0,-4.161879e-06,10112.81,10159.167,0.5012026,0.5012026,-1.4033559e-10,-8.373199e-09,0.9976006,-2.7932592e-10,-20.444082,-89.538925,-89.538925,88.204865,53.78802,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13775517,0.50295573,6.004788,6.0074854,1.0,-77.18876,97.63284,-226.53046,316.06937,-2.2200883e-16,7.781992e-15,6.004788,6.004788,6.004788,0.039589055,1.0,1.0,1.0,6.0074854,6.004788,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
-0.2978,0.5,0.0,50000.0,-4.272772e-06,10112.81,10159.167,0.5012026,0.5012026,-1.7767006e-10,2.6500986e-09,0.9976006,-3.5363695e-10,-14.066086,-69.69184,-69.69184,88.204865,46.61494,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13775997,0.5029558,6.06762,6.0703173,1.0,-81.316986,95.38307,-240.78761,310.47946,-2.2200883e-16,6.639751e-15,6.06762,6.06762,6.06762,0.039589062,1.0,1.0,1.0,6.0703173,6.06762,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
-0.2976,0.5,0.0,50000.0,-4.3790324e-06,10112.81,10159.167,0.5012026,0.5012026,-1.9078486e-10,3.6222843e-09,0.9976006,-3.7974085e-10,-7.6325774,-49.56972,-49.56972,88.204865,39.257885,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13776477,0.5029558,6.1304517,6.133149,1.0,-85.12429,92.75687,-254.0945,303.6642,-2.2200883e-16,6.171034e-15,6.1304517,6.1304517,6.1304517,0.039589062,1.0,1.0,1.0,6.133149,6.1304517,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
-0.2974,0.5,0.0,50000.0,-4.374578e-06,10112.81,10159.167,0.5012026,0.5012026,-1.9719212e-10,3.9413708e-10,0.9976006,-3.9249395e-10,-1.1689466,-29.251966,-29.251968,88.204865,31.745905,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13776956,0.5029558,6.1932836,6.195981,1.0,-88.59565,89.764595,-266.39856,295.65054,-2.2200883e-16,6.121182e-15,6.1932836,6.1932836,6.1932836,0.039589062,1.0,1.0,1.0,6.195981,6.1932836,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
-0.2972,0.5,0.0,50000.0,-4.289968e-06,10112.81,10159.167,0.5012026,0.5012026,-1.7624449e-10,8.506886e-09,0.9976006,-3.507995e-10,5.2992973,-8.81877,-8.818771,88.204865,24.108639,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13777436,0.50295573,6.256115,6.258813,1.0,-91.717354,86.41806,-277.6513,286.47006,-2.2200883e-16,6.174603e-15,6.256115,6.256115,6.256115,0.039589055,1.0,1.0,1.0,6.258813,6.256115,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
-0.297,0.5,0.0,50000.0,-4.2439e-06,10112.81,10159.167,0.5012026,0.5012026,-1.5302634e-10,9.459019e-09,0.9976006,-3.0458577e-10,11.746627,11.649229,11.649229,88.204865,16.376226,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13777916,0.5029558,0.03576174,0.038459305,1.0,-94.477104,82.73048,-287.80826,276.15903,-2.2200883e-16,6.242129e-15,0.03576174,0.03576174,0.03576174,0.03958906,1.0,1.0,1.0,0.038459305,0.03576174,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
-0.2968,0.5,0.0,50000.0,-4.1986073e-06,10112.81,10159.167,0.5012026,0.5012026,-1.2728096e-10,2.917821e-09,0.9976006,-2.5334182e-10,18.147598,32.071255,32.071255,88.204865,8.579183,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13778396,0.50295573,0.09859359,0.10129116,1.0,-96.86398,78.716385,-296.82938,264.75815,-2.2200883e-16,6.676267e-15,0.09859359,0.09859359,0.09859359,0.03958906,1.0,1.0,1.0,0.10129116,0.09859359,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
-0.2966,0.5,0.0,50000.0,-3.957754e-06,10112.81,10159.167,0.5012026,0.5012026,-1.0746948e-10,-8.892558e-09,0.9976006,-2.1390875e-10,24.47695,52.366707,52.366707,88.204865,0.748279,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13778876,0.5029558,0.16142544,0.16412301,1.0,-98.8686,74.39165,-304.67905,252.31235,-2.2200883e-16,7.407971e-15,0.16142544,0.16142544,0.16142544,0.03958906,1.0,1.0,1.0,0.16412301,0.16142544,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
-0.2964,0.5,0.0,50000.0,-3.5703038e-06,10112.81,10159.167,0.5012026,0.5012026,-9.487409e-11,4.428331e-09,0.9976006,-1.8883871e-10,30.709702,72.4555,72.4555,88.204865,-7.0855784,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13779356,0.5029558,0.22425729,0.22695486,1.0,-100.48302,69.773315,-311.3263,238.8708,-2.2200883e-16,8.148825e-15,0.22425729,0.22425729,0.22425729,0.039589055,1.0,1.0,1.0,0.22695486,0.22425729,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
-0.2962,0.5,0.0,50000.0,-3.0167512e-06,10112.81,10159.167,0.5012026,0.5012026,-7.659524e-11,3.341725e-09,0.9976006,-1.5245623e-10,36.821255,92.25833,92.25833,88.204865,-14.891474,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13779835,0.5029558,0.28708914,0.28978673,1.0,-101.700874,64.879616,-316.74487,224.48654,-2.2200883e-16,8.892559e-15,0.28708914,0.28708914,0.28708914,0.039589055,1.0,1.0,1.0,0.28978673,0.28708914,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
-0.296,0.5,0.0,50000.0,-2.4465367e-06,10112.81,10159.167,0.5012026,0.5012026,-6.127816e-11,6.331802e-09,0.9976006,-1.2196891e-10,42.787495,111.697075,111.697075,88.204865,-22.638601,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13780317,0.50295573,0.349921,0.35261858,1.0,-102.517365,59.72987,-320.9134,209.21634,-2.2200883e-16,9.405449e-15,0.349921,0.349921,0.349921,0.03958906,1.0,1.0,1.0,0.35261858,0.349921,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
-0.2958,0.5,0.0,50000.0,-1.7558599e-06,10112.81,10159.167,0.5012026,0.5012026,-3.0697694e-11,-4.4699713e-10,0.9976006,-6.1101124e-11,48.58487,130.69499,130.69499,88.204865,-30.296381,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13780797,0.5029558,0.41275287,0.41545042,1.0,-102.92927,54.3444,-323.81543,193.12044,-2.2200883e-16,9.7178515e-15,0.41275287,0.41275287,0.41275287,0.039589055,1.0,1.0,1.0,0.41545042,0.41275287,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
-0.2956,0.5,0.0,50000.0,-1.0049517e-06,10112.81,10159.167,0.5012026,0.5012026,-5.022402e-12,1.9049393e-09,0.9976006,-9.99666e-12,54.190502,149.17712,149.17712,88.204865,-37.83459,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13781276,0.50295573,0.47558472,0.47828227,1.0,-102.93495,48.744453,-325.4395,176.26239,-2.2200883e-16,1.0078663e-14,0.47558472,0.47558472,0.47558472,0.03958905,1.0,1.0,1.0,0.47828227,0.47558472,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
-0.2954,0.5,0.0,50000.0,-5.322675e-07,10112.81,10159.167,0.5012026,0.5012026,2.6904031e-11,4.3629904e-09,0.9976006,5.355016e-11,59.58227,167.07051,167.07051,88.204865,-45.223484,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13781756,0.50295573,0.53841656,0.54111415,1.0,-102.5344,42.952133,-325.77924,158.70872,-2.2200883e-16,1.0385499e-14,0.53841656,0.53841656,0.53841656,0.039589062,1.0,1.0,1.0,0.54111415,0.53841656,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
-0.2952,0.5,0.0,50000.0,2.3485756e-08,10112.81,10159.167,0.5012026,0.5012026,4.284412e-11,7.411188e-11,0.9976006,8.527754e-11,64.73889,184.30455,184.30455,88.204865,-52.43391,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13782236,0.50295573,0.6012484,0.603946,1.0,-101.729195,36.990303,-324.83325,140.5287,-2.2200883e-16,1.0524382e-14,0.6012484,0.6012484,0.6012484,0.039589055,1.0,1.0,1.0,0.603946,0.6012484,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
-0.295,0.5,0.0,50000.0,5.9399457e-07,10112.81,10159.167,0.5012026,0.5012026,5.1561023e-11,-2.6501012e-09,0.9976006,1.0262778e-10,69.64002,200.81123,200.81123,88.204865,-59.437397,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13782716,0.50295573,0.66408026,0.66677785,1.0,-100.522514,30.88249,-322.6053,121.79407,-2.2200883e-16,1.0655907e-14,0.66408026,0.66408026,0.66408026,0.039589055,1.0,1.0,1.0,0.66677785,0.66408026,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
-0.2948,0.5,0.0,50000.0,1.0035714e-06,10112.81,10159.167,0.5012026,0.5012026,4.999204e-11,-1.6748655e-09,0.9976006,9.9504856e-11,74.26631,216.52539,216.52539,88.204865,-66.206314,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13783196,0.50295573,0.72691214,0.72960967,1.0,-98.91911,24.652798,-319.10416,102.57877,-2.2200883e-16,1.0821158e-14,0.72691214,0.72691214,0.72691214,0.039589047,1.0,1.0,1.0,0.72960967,0.72691214,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
-0.2946,0.5,0.0,50000.0,1.3507209e-06,10112.81,10159.167,0.5012026,0.5012026,5.670692e-11,-1.134208e-08,0.9976006,1.1287025e-10,78.59951,231.38503,231.38503,88.204865,-72.71395,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13783675,0.50295573,0.78974396,0.79244155,1.0,-96.92532,18.325811,-314.3437,82.95865,-2.2200883e-16,1.0940651e-14,0.78974396,0.78974396,0.78974396,0.039589055,1.0,1.0,1.0,0.79244155,0.78974396,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
-0.2944,0.5,0.0,50000.0,1.7207116e-06,10112.81,10159.167,0.5012026,0.5012026,5.887347e-11,4.493673e-10,0.9976006,1.1718258e-10,82.62251,245.3315,245.3315,88.204865,-78.934616,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13784155,0.50295573,0.85257584,0.85527337,1.0,-94.54901,11.926502,-308.34262,63.011127,-2.2200883e-16,1.0992601e-14,0.85257584,0.85257584,0.85257584,0.039589062,1.0,1.0,1.0,0.85527337,0.85257584,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
-0.2942,0.5,0.0,50000.0,2.0224968e-06,10112.81,10159.167,0.5012026,0.5012026,5.9866036e-11,-8.154814e-09,0.9976006,1.191582e-10,86.319435,258.30975,258.30975,88.204865,-84.84376,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13784635,0.50295573,0.91540766,0.91810524,1.0,-91.79956,5.480124,-301.1247,42.814926,-2.2200883e-16,1.09993284e-14,0.91540766,0.91540766,0.91540766,0.03958905,1.0,1.0,1.0,0.91810524,0.91540766,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
-0.294,0.5,0.0,50000.0,2.1627618e-06,10112.81,10159.167,0.5012026,0.5012026,6.8593624e-11,-5.4756875e-09,0.9976006,1.365297e-10,89.675705,270.2686,270.2686,88.204865,-90.41806,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.13785115,0.5029558,0.97823954,0.9809371,1.0,-88.68782,-0.987882,-292.71832,22.449757,-2.2200883e-16,1.0994031e-14,0.97823954,0.97823954,0.97823954,0.039589062,1.0,1.0,1.0,0.9809371,0.97823954,-0.0,-5.5649383e-09,0.0,0.0,1.0,1.0
