Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,PCC_Control.CB_faults,PCC_Control.fault_vpu,PCC_Control.fault_fpu,PCC_Control.Fault,PCC_Control.GFL,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control.d_2_f,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.3,1.0,0.0,100000.0,-3.965025e-06,-50002.0,10004.708,1.0000578,1.0000579,-2.278932e-10,4.750575e-09,0.9999421,-2.2786682e-10,94.09575,161.51479,161.51479,73.59828,-68.22607,1.0,1.0,0.9999421,1.0,-1.0,1.0,144.34569,230.92674,1.0,-0.08636346,1.0018152,2.6242588,2.6151936,1.0,110.34416,-204.43991,165.05853,-326.57333,6.7424083e-13,-4.454952e-15,2.6242588,2.6242588,2.6242588,0.039681967,1.0,1.0,1.0,2.6151936,2.6242588,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2998,1.0,0.0,100000.0,-4.1662925e-06,-50002.0,10004.708,1.0000578,1.0000579,-2.2381093e-10,1.0282246e-08,0.9999421,-2.2378503e-10,82.49848,143.37337,143.37337,73.59828,-63.155838,1.0,1.0,0.9999421,1.0,-1.0,1.0,144.34569,230.92674,1.0,-0.08636334,1.0018152,2.6870906,2.6780255,1.0,120.948975,-203.44746,182.42706,-325.80045,6.7424083e-13,-4.4451904e-15,2.6870906,2.6870906,2.6870906,0.039681967,1.0,1.0,1.0,2.6780255,2.6870906,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2996,1.0,0.0,100000.0,-3.920453e-06,-50002.0,10004.709,1.0000578,1.0000579,-2.2449963e-10,-1.4928753e-08,0.9999421,-2.2447365e-10,70.57563,124.66614,124.66614,73.59828,-57.836365,1.0,1.0,0.9999421,1.0,-1.0,1.0,144.34569,230.92674,1.0,-0.08636322,1.0018152,2.7499225,2.7408574,1.0,131.07646,-201.65208,199.07564,-323.74176,6.7424083e-13,-4.4402776e-15,2.7499225,2.7499225,2.7499225,0.039681982,1.0,1.0,1.0,2.7408574,2.7499225,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2994,1.0,0.0,100000.0,-3.6025367e-06,-50002.0,10004.709,1.0000578,1.0000579,-2.3142119e-10,9.199655e-09,0.9999421,-2.3139442e-10,58.37425,105.466896,105.466896,73.59828,-52.288635,1.0,1.0,0.9999421,1.0,-1.0,1.0,144.34569,230.92674,1.0,-0.08636311,1.0018152,2.8127544,2.8036892,1.0,140.68665,-199.0609,214.93854,-320.40543,6.7424083e-13,-4.439381e-15,2.8127544,2.8127544,2.8127544,0.03968198,1.0,1.0,1.0,2.8036892,2.8127544,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2992,1.0,0.0,100000.0,-3.6769495e-06,-50002.0,10004.709,1.0000578,1.0000579,-2.4278454e-10,1.5429134e-08,0.9999421,-2.4275645e-10,45.94249,85.851425,85.851425,73.59828,-46.53455,1.0,1.0,0.9999421,1.0,-1.0,1.0,144.34569,230.92674,1.0,-0.08636299,1.0018152,2.8755863,2.8665211,1.0,149.7416,-195.6841,229.95319,-315.8046,6.7424083e-13,-4.439747e-15,2.8755863,2.8755863,2.8755863,0.039681956,1.0,1.0,1.0,2.8665211,2.8755863,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.299,1.0,0.0,100000.0,-3.4462823e-06,-50002.0,10004.709,1.0000578,1.0000578,-2.4304556e-10,2.666996e-09,0.9999421,-2.430174e-10,33.32942,65.89714,65.89713,73.59828,-40.596813,1.0,1.0,0.9999421,1.0,-1.0,1.0,144.34569,230.92674,1.0,-0.086362876,1.0018152,2.9384181,2.9293528,1.0,158.2056,-191.53502,244.0603,-309.95743,6.7424083e-13,-4.6203314e-15,2.9384181,2.9384181,2.9384181,0.03968198,1.0,1.0,1.0,2.9293528,2.9384181,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2988,1.0,0.0,100000.0,-3.241988e-06,-50002.0,10004.709,1.0000578,1.0000578,-2.562008e-10,9.206189e-09,0.9999421,-2.5617114e-10,20.58481,45.682785,45.682785,73.59828,-34.49886,1.0,1.0,0.9999421,1.0,-1.0,1.0,144.34569,230.92674,1.0,-0.08636276,1.0018152,3.00125,2.9921846,1.0,166.04523,-186.63004,257.20422,-302.88702,6.7424083e-13,-4.8225016e-15,3.00125,3.00125,3.00125,0.039681986,1.0,1.0,1.0,2.9921846,3.00125,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2986,1.0,0.0,100000.0,-3.1098741e-06,-50002.0,10004.709,1.0000578,1.0000579,-2.6206212e-10,9.240515e-09,0.9999421,-2.6203179e-10,7.7589645,25.288143,25.288141,73.59828,-28.264751,1.0,1.0,0.9999421,1.0,-1.0,1.0,144.34569,230.92674,1.0,-0.08636264,1.0018152,3.0640817,3.0550165,1.0,173.22955,-180.98851,269.3331,-294.62125,6.7424083e-13,-4.8968313e-15,3.0640817,3.0640817,3.0640817,0.03968199,1.0,1.0,1.0,3.0550165,3.0640817,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2984,1.0,0.0,100000.0,-3.025735e-06,-50002.0,10004.709,1.0000578,1.0000578,-2.3966515e-10,-8.349073e-09,0.9999421,-2.3963742e-10,-5.0975027,4.7936997,4.793699,73.59828,-21.919098,1.0,1.0,0.9999421,1.0,-1.0,1.0,144.34569,230.92674,1.0,-0.086362526,1.0018152,3.1269135,3.1178484,1.0,179.73022,-174.63272,280.39902,-285.19272,6.7424083e-13,-4.90118e-15,3.1269135,3.1269135,3.1269135,0.03968198,1.0,1.0,1.0,3.1178484,3.1269135,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2982,1.0,0.0,100000.0,-2.6199793e-06,-50002.0,10004.709,1.0000578,1.0000578,-1.9672156e-10,-2.1285327e-08,0.9999421,-1.9669878e-10,-17.933853,-15.719662,-15.719663,73.59828,-15.486938,1.0,1.0,0.9999421,1.0,-1.0,1.0,144.34569,230.92674,1.0,-0.08636241,1.0018152,3.1897454,3.1806803,1.0,185.52158,-167.58772,290.35834,-274.63867,6.7424083e-13,-4.890864e-15,3.1897454,3.1897454,3.1897454,0.03968198,1.0,1.0,1.0,3.1806803,3.1897454,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
