Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,PCC_Control.CB_faults,PCC_Control.fault_vpu,PCC_Control.fault_fpu,PCC_Control.Fault,PCC_Control.GFL,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.df_Switch.df_diff,Battery inverter (Average)1.Control.df_Switch.df_sync,Battery inverter (Average)1.Control.df_Switch.df_o,Battery inverter (Average)1.Control.df_Switch.Phase_Synch.dPh,Battery inverter (Average)1.Control.df_Switch.Phase_Synch.uPh,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control.d_2_f,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.298,0.5,0.0,50000.0,-8.366855e-06,10112.809,10159.168,0.5012026,0.5012026,8.591046e-10,2.2909507e-08,0.9976006,1.7099738e-09,-90.02749,-296.36295,-296.36295,88.204865,120.514015,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.11566392,0.50295573,5.140853,5.140853,1.0,1.7077801,88.31971,30.949612,265.41336,2.4436458e-12,6.032649e-14,5.140853,5.140853,5.140853,0.039589085,1.0,1.0,-5.0451963e-09,0.0,-5.0451963e-09,1.26752955e-08,-2.5224085e-07,1.0,5.140853,5.140853,-1.0640433e-07,-6.7739103e-09,0.0,0.0,1.0,1.0
-0.2978,0.5,0.0,50000.0,-1.1350464e-05,10112.809,10159.168,0.5012026,0.5012026,7.6765505e-10,2.9588218e-08,0.9976006,1.5279513e-09,-86.70998,-287.27835,-287.27835,88.204865,118.254745,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.11566872,0.50295573,5.203685,5.203685,1.0,-4.7610545,91.47103,10.522955,276.7554,2.0585551e-12,6.0322956e-14,5.203685,5.203685,5.203685,0.039589085,1.0,1.0,-4.9716506e-09,0.0,-4.9716506e-09,1.306081e-08,-2.4856473e-07,1.0,5.203685,5.203685,-1.05871706e-07,-6.7400023e-09,0.0,0.0,1.0,1.0
-0.2976,0.5,0.0,50000.0,-1.4131427e-05,10112.809,10159.168,0.5012026,0.5012026,6.8912404e-10,2.226677e-08,0.9976006,1.3716421e-09,-83.050255,-277.05997,-277.05997,88.204865,115.528786,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.11567352,0.50295573,5.2665167,5.2665167,1.0,-11.2111,94.26135,-9.945231,287.00522,1.6289202e-12,6.0363634e-14,5.2665167,5.2665167,5.2665167,0.03958908,1.0,1.0,-4.9027444e-09,0.0,-4.9027444e-09,1.3415206e-08,-2.4512053e-07,1.0,5.2665167,5.2665167,-1.0534783e-07,-6.7066512e-09,0.0,0.0,1.0,1.0
-0.2974,0.5,0.0,50000.0,-1.7032473e-05,10112.809,10159.168,0.5012026,0.5012026,6.3373157e-10,2.1114097e-08,0.9976006,1.2613882e-09,-79.062775,-265.74817,-265.74817,88.204865,112.34689,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.11567832,0.50295573,5.3293486,5.3293486,1.0,-17.6169,96.67967,-30.374166,296.12234,1.2901106e-12,6.038533e-14,5.3293486,5.3293486,5.3293486,0.03958908,1.0,1.0,-4.8378372e-09,0.0,-4.8378372e-09,1.37426825e-08,-2.4187605e-07,1.0,5.3293486,5.3293486,-1.04829326e-07,-6.673642e-09,0.0,0.0,1.0,1.0
-0.2972,0.5,0.0,50000.0,-1.9932442e-05,10112.809,10159.168,0.5012026,0.5012026,5.7445076e-10,2.6848195e-08,0.9976006,1.1433949e-09,-74.76327,-253.38759,-253.38759,88.204865,108.7216,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.11568311,0.5029558,5.3921804,5.3921804,1.0,-23.953173,98.716446,-50.68323,304.07083,1.0471252e-12,6.0389695e-14,5.3921804,5.3921804,5.3921804,0.03958909,1.0,1.0,-4.7757385e-09,0.0,-4.7757385e-09,1.405082e-08,-2.3877166e-07,1.0,5.3921804,5.3921804,-1.04317e-07,-6.641027e-09,0.0,0.0,1.0,1.0
-0.297,0.5,0.0,50000.0,-2.2754068e-05,10112.809,10159.168,0.5012026,0.5012026,5.095792e-10,2.0969374e-08,0.9976006,1.0142736e-09,-70.16871,-240.02701,-240.02701,88.204865,104.66724,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.11568791,0.5029558,5.4550123,5.4550123,1.0,-30.194914,100.363625,-70.79227,310.81927,8.6503146e-13,6.038829e-14,5.4550123,5.4550123,5.4550123,0.039589077,1.0,1.0,-4.71563e-09,0.0,-4.71563e-09,1.4344802e-08,-2.3576669e-07,1.0,5.4550123,5.4550123,-1.0380964e-07,-6.608727e-09,0.0,0.0,1.0,1.0
-0.2968,0.5,0.0,50000.0,-2.529679e-05,10112.809,10159.168,0.5012026,0.5012026,4.3170698e-10,1.882406e-08,0.9976006,8.5927565e-10,-65.29722,-225.71913,-225.71913,88.204865,100.19978,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.115692705,0.50295573,5.517844,5.517844,1.0,-36.31749,101.614716,-90.621925,316.34106,7.0028396e-13,6.038683e-14,5.517844,5.517844,5.517844,0.03958909,1.0,1.0,-4.657404e-09,0.0,-4.657404e-09,1.4625357e-08,-2.3285591e-07,1.0,5.517844,5.517844,-1.0330874e-07,-6.5768386e-09,0.0,0.0,1.0,1.0
-0.2966,0.5,0.0,50000.0,-2.779304e-05,10112.809,10159.168,0.5012026,0.5012026,3.5949324e-10,2.0427462e-08,0.9976006,7.155404e-10,-60.168037,-210.52046,-210.52046,88.204865,95.3369,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.1156975,0.50295573,5.5806756,5.5806756,1.0,-42.296738,102.464775,-110.09393,320.61438,5.381946e-13,6.036201e-14,5.580676,5.580676,5.5806756,0.039589077,1.0,1.0,-4.601565e-09,0.0,-4.601565e-09,1.4889397e-08,-2.3006471e-07,1.0,5.5806756,5.5806756,-1.0282887e-07,-6.5462893e-09,0.0,0.0,1.0,1.0
-0.2964,0.5,0.0,50000.0,-3.0065843e-05,10112.809,10159.168,0.5012026,0.5012026,2.9009237e-10,2.337829e-08,0.9976006,5.774039e-10,-54.8014,-194.49095,-194.49095,88.204865,90.097755,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.1157023,0.5029558,5.6435075,5.6435075,1.0,-48.10906,102.91046,-129.13145,323.6224,3.245682e-13,5.99148e-14,5.643508,5.643508,5.6435075,0.039589074,1.0,1.0,-4.55137e-09,0.0,-4.55137e-09,1.5116536e-08,-2.2755727e-07,1.0,5.6435075,5.6435075,-1.0243819e-07,-6.521418e-09,0.0,0.0,1.0,1.0
-0.2962,0.5,0.0,50000.0,-3.2283715e-05,10112.809,10159.168,0.5012026,0.5012026,2.2990503e-10,1.82097e-08,0.9976006,4.576062e-10,-49.218483,-177.69388,-177.69388,88.204865,84.503044,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.1157071,0.50295573,5.7063394,5.7063394,1.0,-53.731518,102.95,-147.65935,325.35324,4.675398e-14,5.948123e-14,5.70634,5.70634,5.7063394,0.039589077,1.0,1.0,-4.5136224e-09,0.0,-4.5136224e-09,1.52646e-08,-2.2567363e-07,1.0,5.7063394,5.7063394,-1.0214319e-07,-6.5026375e-09,0.0,0.0,1.0,1.0
