Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,PCC_Control.CB_faults,PCC_Control.fault_vpu,PCC_Control.fault_fpu,PCC_Control.Fault,PCC_Control.GFL,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control.d_2_f,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.298,1.0,0.0,100000.0,3.817515e-07,-89909.92,1.0005536,0.996657,0.996657,-2.014266e-10,-2.2416229e-08,1.0033542,-2.0278013e-10,-184.65533,-301.9825,-301.9825,14.512541,18.914263,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,5.1111627,5.094376,1.0,17.309095,167.34624,40.798252,261.18427,-0.0,1.1402702e-13,5.1111627,5.1111627,5.1111627,0.039817426,1.0,1.0,1.0,5.094376,5.1111627,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2978,1.0,0.0,100000.0,6.318842e-07,-89909.92,1.0005536,0.996657,0.996657,-5.182482e-11,-1.2144669e-08,1.0033542,-5.2173064e-11,-178.85179,-293.39716,-293.39716,14.512541,18.376669,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,5.1739945,5.157208,1.0,4.5141354,174.33766,20.301754,273.0954,-0.0,1.1499292e-13,5.1739945,5.1739945,5.1739945,0.03981744,1.0,1.0,1.0,5.157208,5.1739945,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2976,1.0,0.0,100000.0,3.3036684e-07,-89909.92,1.0005536,0.996657,0.9966571,5.7710024e-11,-8.163618e-10,1.0033542,5.8097818e-11,-172.3424,-283.6539,-283.6539,14.512541,17.766554,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,5.2368264,5.22004,1.0,-8.298639,180.64105,-0.27486208,283.92877,-0.0,1.1598971e-13,5.2368264,5.2368264,5.2368264,0.039817438,1.0,1.0,1.0,5.22004,5.2368264,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2974,1.0,0.0,100000.0,1.3184863e-08,-89909.92,1.0005536,0.996657,0.9966571,3.756782e-11,7.533985e-09,1.0033542,3.7820264e-11,-165.15286,-272.7912,-272.7912,14.512541,17.086323,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,5.2996583,5.2828717,1.0,-21.078663,186.23152,-20.850393,293.64157,-0.0,1.1742986e-13,5.2996583,5.2996583,5.2996583,0.039817423,1.0,1.0,1.0,5.2828717,5.2996583,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2972,1.0,0.0,100000.0,1.08706494e-07,-89909.92,1.0005536,0.996657,0.996657,-7.4960906e-11,-1.2095395e-08,1.0033542,-7.546462e-11,-157.31154,-260.8519,-260.8519,14.512541,16.338657,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,5.36249,5.3457036,1.0,-33.7755,191.08704,-41.34364,302.19553,-0.0,1.1827675e-13,5.36249,5.36249,5.36249,0.03981743,1.0,1.0,1.0,5.3457036,5.36249,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.297,1.0,0.0,100000.0,9.4186913e-07,-89909.92,1.0005536,0.996657,0.996657,-1.12729874e-10,-8.454624e-09,1.0033542,-1.13487386e-10,-148.84938,-247.88313,-247.88313,14.512541,15.526501,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,5.425322,5.4085355,1.0,-46.33904,195.18842,-61.673725,309.55685,-0.0,1.1923709e-13,5.425322,5.425322,5.425322,0.039817415,1.0,1.0,1.0,5.4085355,5.425322,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2968,1.0,0.0,100000.0,1.7308785e-06,-89909.92,1.0005536,0.996657,0.99665695,3.0323018e-12,8.6844185e-09,1.0033542,3.052678e-12,-139.79977,-233.9361,-233.9361,14.512541,14.653083,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,5.488154,5.4713674,1.0,-58.7197,198.51947,-81.760414,315.6965,-0.0,1.2033457e-13,5.488154,5.488154,5.488154,0.03981742,1.0,1.0,1.0,5.4713674,5.488154,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2966,1.0,0.0,100000.0,1.9470128e-06,-89909.92,1.0005262,0.996657,0.996657,1.75233e-10,-2.0833365e-08,1.0033542,1.7641051e-10,-130.19844,-219.06583,-219.06583,14.512541,13.72183,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,5.550986,5.534199,1.0,-70.86862,201.06706,-101.52443,320.59024,-0.0,1.2082113e-13,5.550986,5.550986,5.550986,0.039817434,1.0,1.0,1.0,5.534199,5.550986,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2964,1.0,0.0,100000.0,1.6629294e-06,-89909.92,1.0005262,0.996657,0.996657,2.2675183e-10,-1.33148825e-08,1.0033542,2.2827552e-10,-120.08328,-203.331,-203.331,14.512541,12.736427,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,5.6138177,5.597031,1.0,-82.737854,202.82114,-120.887764,324.21875,-0.0,1.2131606e-13,5.6138177,5.6138177,5.6138177,0.039817415,1.0,1.0,1.0,5.597031,5.6138177,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2962,1.0,0.0,100000.0,1.9276415e-06,-89909.92,1.0005262,0.996657,0.996657,2.166527e-10,-8.691582e-09,1.0033542,2.1810853e-10,-109.4942,-186.79372,-186.7937,14.512541,11.700753,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,5.6766496,5.659863,1.0,-94.28056,203.77477,-139.77402,326.56772,-0.0,1.216281e-13,5.6766496,5.6766496,5.6766496,0.039817434,1.0,1.0,1.0,5.659863,5.6766496,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
