Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control1.CB_faults,PCC_Control1.fault_vpu,PCC_Control1.fault_fpu,PCC_Control1.Fault,PCC_Control1.GFL,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.3,1.0,0.0,100000.0,-7.728941e-07,-50012.668,-10000.567,0.9961556,0.99615556,-7.61496e-11,-7.2418844e-09,1.0038593,-7.673849e-11,-104.85818,-157.28741,-157.28741,73.29486,66.60326,1.0,143.78244,231.83136,1.0,-0.6812575,0.99792254,3.641952,3.633698,1.0,203.83405,-98.975876,327.77054,-170.48311,-0.0,1.5992817e-13,3.641952,3.641952,3.641952,0.03983738,1.0,1.0,1.0,3.633698,3.641952,-0.0,-5.5642637e-09,1.0,1.0038593,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2995,1.0,0.0,100000.0,6.488176e-07,-50012.668,-10000.567,0.9961556,0.99615556,6.393188e-11,-6.928722e-09,1.0038593,6.442629e-11,-130.91623,-200.35196,-200.35196,73.29486,78.20802,1.0,143.78244,231.83136,1.0,-0.68127674,0.9979226,3.7990317,3.7907777,1.0,200.79324,-69.877014,324.92694,-124.57497,-0.0,1.5939116e-13,3.7990317,3.7990317,3.7990317,0.03983738,1.0,1.0,1.0,3.7907777,3.7990317,-0.0,-5.5642637e-09,1.0,1.0038593,1.0,-1.0,1.0,0.0,1.0,1.0
-0.299,1.0,0.0,100000.0,1.575307e-06,-50012.668,-10000.567,0.9961556,0.99615556,1.2174607e-10,1.4243902e-08,1.0038593,1.2268758e-10,-153.75069,-238.48317,-238.48317,73.29486,87.88705,1.0,143.78244,231.83136,1.0,-0.68129605,0.99792254,3.9561114,3.9478571,1.0,192.80823,-39.05755,314.08255,-75.59938,-0.0,1.584739e-13,3.9561114,3.9561114,3.9561114,0.039837383,1.0,1.0,1.0,3.9478571,3.9561114,-0.0,-5.5642637e-09,1.0,1.0038593,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2985,1.0,0.0,100000.0,2.1394947e-06,-50012.668,-10000.567,0.9961556,0.9961556,-1.6679288e-11,-1.3536748e-08,1.0038593,-1.6808275e-11,-172.7993,-270.74216,-270.74213,73.29486,95.402,1.0,143.78244,231.83136,1.0,-0.68131536,0.9979226,4.113191,4.1049366,1.0,180.07565,-7.276355,295.50443,-24.762283,-0.0,1.5886667e-13,4.113191,4.113191,4.113191,0.039837394,1.0,1.0,1.0,4.1049366,4.113191,-0.0,-5.5642637e-09,1.0,1.0038593,1.0,-1.0,1.0,0.0,1.0,1.0
-0.298,1.0,0.0,100000.0,2.4777999e-06,-50012.668,-10000.567,0.9961556,0.99615556,-5.026292e-12,-7.917513e-09,1.0038593,-5.0651623e-12,-187.59302,-296.33453,-296.33453,73.29486,100.56784,1.0,143.78244,231.83136,1.0,-0.6813347,0.9979226,4.270271,4.2620163,1.0,162.90901,24.684006,269.65,26.684547,-0.0,1.5897311e-13,4.270271,4.270271,4.270271,0.039837386,1.0,1.0,1.0,4.2620163,4.270271,-0.0,-5.5642637e-09,1.0,1.0038593,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2975,1.0,0.0,100000.0,2.4752446e-06,-50012.668,-10000.567,0.9961556,0.9961556,1.413346e-10,1.5815354e-08,1.0038593,1.424276e-10,-197.76756,-314.6302,-314.6302,73.29486,103.25736,1.0,143.78244,231.83136,1.0,-0.6813539,0.9979226,4.42735,4.419096,1.0,141.731,56.036564,237.15588,77.47431,-0.0,1.583675e-13,4.42735,4.42735,4.42735,0.039837386,1.0,1.0,1.0,4.419096,4.42735,-0.0,-5.5642637e-09,1.0,1.0038593,1.0,-1.0,1.0,0.0,1.0,1.0
-0.297,1.0,0.0,100000.0,2.7637384e-06,-50012.668,-10000.567,0.9961556,0.9961556,2.0632328e-10,-1.4411714e-09,1.0038593,2.0791886e-10,-203.07242,-325.17862,-325.17862,73.29486,103.40435,1.0,143.78244,231.83136,1.0,-0.68137324,0.9979226,4.5844297,4.5761757,1.0,117.06311,86.009315,198.8222,126.3564,-0.0,1.5745447e-13,4.5844297,4.5844297,4.5844297,0.039837383,1.0,1.0,1.0,4.5761757,4.5844297,-0.0,-5.5642637e-09,1.0,1.0038593,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2965,1.0,0.0,100000.0,2.5106933e-06,-50012.668,-10000.567,0.9961556,0.9961556,1.4749837e-10,3.418392e-09,1.0038593,1.4863905e-10,-203.37697,-327.72006,-327.72006,73.29486,101.00518,1.0,143.78244,231.83136,1.0,-0.68139255,0.9979226,4.7415094,4.7332554,1.0,89.51273,113.864235,155.59288,172.12718,-0.0,1.5414304e-13,4.7415094,4.7415094,4.7415094,0.039837394,1.0,1.0,1.0,4.7332554,4.7415094,-0.0,-5.5642637e-09,1.0,1.0038593,1.0,-1.0,1.0,0.0,1.0,1.0
-0.296,1.0,0.0,100000.0,2.0697714e-06,-50012.668,-10000.567,0.9961556,0.9961556,5.834072e-11,6.606796e-09,1.0038593,5.8791895e-11,-198.67369,-322.19196,-322.19193,73.29486,96.11892,1.0,143.78244,231.83136,1.0,-0.68141186,0.9979226,4.898589,4.890335,1.0,59.75826,138.91544,108.532326,213.6596,-0.0,1.5171218e-13,4.898589,4.898589,4.898589,0.039837386,1.0,1.0,1.0,4.890335,4.898589,-0.0,-5.5642637e-09,1.0,1.0038593,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2955,1.0,0.0,100000.0,1.0184107e-06,-50012.668,-10000.567,0.9961556,0.9961556,-7.198332e-11,8.127785e-09,1.0038593,-7.2539995e-11,-189.07841,-308.73038,-308.73038,73.29486,88.86589,1.0,143.78244,231.83136,1.0,-0.6814311,0.9979226,5.055669,5.047415,1.0,28.532335,160.54608,58.799355,249.93105,-0.0,1.5164134e-13,5.055669,5.055669,5.055669,0.039837394,1.0,1.0,1.0,5.047415,5.055669,-0.0,-5.5642637e-09,1.0,1.0038593,1.0,-1.0,1.0,0.0,1.0,1.0
-0.295,1.0,0.0,100000.0,-2.4676328e-07,-50012.668,-10000.567,0.9961556,0.9961556,-1.97443e-10,2.094698e-08,1.0038593,-1.9896991e-10,-174.8274,-287.66687,-287.66687,73.29486,79.4247,1.0,143.78244,231.83136,1.0,-0.6814504,0.9979226,5.2127485,5.2044945,1.0,-3.3961492,178.22354,7.6185417,280.04834,-0.0,1.5093558e-13,5.2127485,5.2127485,5.2127485,0.039837394,1.0,1.0,1.0,5.2044945,5.2127485,-0.0,-5.5642637e-09,1.0,1.0038593,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2945,1.0,0.0,100000.0,-1.6709677e-06,-50012.668,-10000.567,0.9961556,0.9961556,-2.4111668e-10,-1.2009845e-08,1.0038593,-2.4298133e-10,-156.27155,-259.52005,-259.52005,73.29486,68.02782,1.0,143.78244,231.83136,1.0,-0.68146974,0.9979226,5.369828,5.3615737,1.0,-35.24101,191.51256,-43.749863,303.2699,-0.0,1.5056138e-13,5.369828,5.369828,5.369828,0.0398374,1.0,1.0,1.0,5.3615737,5.369828,-0.0,-5.5642637e-09,1.0,1.0038593,1.0,-1.0,1.0,0.0,1.0,1.0
-0.294,1.0,0.0,100000.0,-2.6500518e-06,-50012.668,-10000.567,0.9961556,0.9961556,-2.861445e-10,1.2536022e-08,1.0038593,-2.8835737e-10,-133.86777,-224.98297,-224.98297,73.29486,54.95584,1.0,143.78244,231.83136,1.0,-0.68148905,0.9979226,5.526908,5.5186534,1.0,-66.21812,200.08589,-94.041,319.02396,-0.0,1.5004046e-13,5.526908,5.526908,5.526908,0.039837413,1.0,1.0,1.0,5.5186534,5.526908,-0.0,-5.5642637e-09,1.0,1.0038593,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2935,1.0,0.0,100000.0,-3.3378687e-06,-50012.668,-10000.567,0.9961556,0.9961556,-3.0478406e-10,7.0502804e-10,1.0038593,-3.0714106e-10,-108.16773,-184.90607,-184.90607,73.29486,40.530674,1.0,143.78244,231.83136,1.0,-0.6815083,0.9979226,5.683987,5.675733,1.0,-95.56471,203.73245,-142.01654,326.9226,-0.0,1.4937709e-13,5.683987,5.683987,5.683987,0.03983739,1.0,1.0,1.0,5.675733,5.683987,-0.0,-5.5642637e-09,1.0,1.0038593,1.0,-1.0,1.0,0.0,1.0,1.0
-0.293,1.0,0.0,100000.0,-3.794993e-06,-50012.668,-10000.567,0.9961556,0.9961556,-2.9233377e-10,-4.400914e-09,1.0038593,-2.945945e-10,-79.804245,-140.27617,-140.27617,73.29486,25.107521,1.0,143.78244,231.83136,1.0,-0.6815276,0.9979226,5.841067,5.832813,1.0,-122.55819,202.36244,-186.49515,326.77133,-0.0,1.491622e-13,5.841067,5.841067,5.841067,0.03983738,1.0,1.0,1.0,5.832813,5.841067,-0.0,-5.5642637e-09,1.0,1.0038593,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2925,1.0,0.0,100000.0,-3.917589e-06,-50012.668,-10000.567,0.9961556,0.9961556,-3.691287e-10,4.4318873e-09,1.0038593,-3.719833e-10,-49.475708,-92.1922,-92.19221,73.29486,9.066144,1.0,143.78244,231.83136,1.0,-0.6815469,0.99792254,5.9981465,5.9898925,1.0,-146.53387,196.00958,-226.38164,318.57385,-0.0,1.4747436e-13,5.9981465,5.9981465,5.9981465,0.039837383,1.0,1.0,1.0,5.9898925,5.9981465,-0.0,-5.5642637e-09,1.0,1.0038593,1.0,-1.0,1.0,0.0,1.0,1.0
-0.292,1.0,0.0,100000.0,-3.746248e-06,-50012.668,-10000.567,0.9961556,0.9961556,-5.1949356e-10,1.1713313e-09,1.0038593,-5.23511e-10,-17.928919,-41.83816,-41.838158,73.29486,-7.1984982,1.0,143.78244,231.83136,1.0,-0.68156624,0.9979226,6.155226,6.146972,1.0,-166.90141,184.83034,-260.69385,302.532,-0.0,1.4478455e-13,6.155226,6.155226,6.155226,0.039837375,1.0,1.0,1.0,6.146972,6.155226,-0.0,-5.5642637e-09,1.0,1.0038593,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2915,1.0,0.0,100000.0,-3.4668753e-06,-50012.668,-10000.567,0.9961556,0.9961556,-5.4885635e-10,3.4546637e-09,1.0038593,-5.5310084e-10,14.059342,9.546081,9.5460825,73.29486,-23.285887,1.0,143.78244,231.83136,1.0,-0.6815855,0.9979226,0.029120533,0.020866385,1.0,-183.15929,169.09995,-288.58694,279.04086,-0.0,1.4385857e-13,0.029120533,0.029120533,0.029120533,0.039837386,1.0,1.0,1.0,0.020866385,0.029120533,-0.0,-5.5642637e-09,1.0,1.0038593,1.0,-1.0,1.0,0.0,1.0,1.0
