Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control1.CB_faults,PCC_Control1.fault_vpu,PCC_Control1.fault_fpu,PCC_Control1.Fault,PCC_Control1.GFL,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.272,1.0,0.0,100000.0,9.292369e-06,-50002.0,10004.71,1.0000578,1.0000578,3.79388e-10,7.889922e-09,0.9999421,3.7934408e-10,-15.055132,-11.114823,-11.114823,73.59828,-16.93822,1.0,144.34569,230.92674,1.0,-0.12658782,1.0018152,3.1756332,3.166543,1.0,184.28381,-169.22868,288.2199,-277.10507,-5.244984e-11,4.9311716e-13,3.1756332,3.1756332,3.1756332,0.039681975,1.0,1.0,1.0,3.166543,3.1756332,-0.0,-6.704395e-09,1.0,0.9999421,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2715,1.0,0.0,100000.0,1.0269393e-05,-50002.0,10004.71,1.0000578,1.0000579,6.315851e-10,-2.0666937e-08,0.9999421,6.31512e-10,-46.798134,-62.03671,-62.03671,73.59828,-0.66445476,1.0,144.34569,230.92674,1.0,-0.12658754,1.0018152,3.332713,3.3236227,1.0,195.93953,-149.1414,308.695,-246.65831,-5.3164917e-11,4.8243625e-13,3.332713,3.332713,3.332713,0.03968196,1.0,1.0,1.0,3.3236227,3.332713,-0.0,-6.6587296e-09,1.0,0.9999421,1.0,-1.0,1.0,0.0,1.0,1.0
-0.271,1.0,0.0,100000.0,1.1591163e-05,-50002.0,10004.71,1.0000578,1.0000579,7.7290735e-10,5.041152e-09,0.9999421,7.728179e-10,-77.38881,-111.431046,-111.431046,73.59828,15.62567,1.0,144.34569,230.92674,1.0,-0.12658724,1.0018152,3.4897926,3.4807024,1.0,202.77058,-125.38177,321.56903,-210.13797,-5.365178e-11,4.691835e-13,3.4897926,3.4897926,3.4897926,0.03968197,1.0,1.0,1.0,3.4807024,3.4897926,-0.0,-6.6114394e-09,1.0,0.9999421,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2705,1.0,0.0,100000.0,1.3295624e-05,-50002.0,10004.71,1.0000578,1.0000578,1.1824998e-09,1.3481659e-09,0.9999421,1.182363e-09,-106.07392,-158.08159,-158.08159,73.59828,31.53102,1.0,144.34569,230.92674,1.0,-0.12658696,1.0018152,3.646872,3.637782,1.0,204.60873,-98.53482,326.52493,-168.44336,-5.388114e-11,4.5852574e-13,3.646872,3.646872,3.646872,0.039681975,1.0,1.0,1.0,3.637782,3.646872,-0.0,-6.563075e-09,1.0,0.9999421,1.0,-1.0,1.0,0.0,1.0,1.0
-0.27,1.0,0.0,100000.0,1.457068e-05,-50002.0,10004.71,1.0000578,1.0000578,1.479653e-09,-8.51088e-09,0.9999421,1.4794818e-09,-132.14714,-200.83963,-200.83963,73.59828,46.659958,1.0,144.34569,230.92674,1.0,-0.12658668,1.0018152,3.8039517,3.7948616,1.0,201.40875,-69.26162,323.44073,-122.6011,-5.3927814e-11,4.4846418e-13,3.8039517,3.8039517,3.8039517,0.03968198,1.0,1.0,1.0,3.7948616,3.8039517,-0.0,-6.5139583e-09,1.0,0.9999421,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2695,1.0,0.0,100000.0,1.5210162e-05,-50002.0,10004.71,1.0000578,1.0000579,1.4074124e-09,1.2352817e-08,0.9999421,1.4072494e-09,-154.96645,-238.65233,-238.65233,73.59828,60.63998,1.0,144.34569,230.92674,1.0,-0.12658638,1.0018152,3.9610314,3.9519413,1.0,193.24942,-38.282963,312.39233,-73.74,-5.374601e-11,4.4145232e-13,3.9610314,3.9610314,3.9610314,0.039681964,1.0,1.0,1.0,3.9519413,3.9610314,-0.0,-6.4643735e-09,1.0,0.9999421,1.0,-1.0,1.0,0.0,1.0,1.0
-0.269,1.0,0.0,100000.0,1.4950782e-05,-50002.0,10004.71,1.0000578,1.0000578,1.4424372e-09,2.400925e-08,0.9999421,1.4422703e-09,-173.96999,-270.58862,-270.58862,73.59828,73.12684,1.0,144.34569,230.92674,1.0,-0.1265861,1.0018152,4.118111,4.1090207,1.0,180.33163,-6.3616557,293.6518,-23.06317,-5.329638e-11,4.337873e-13,4.118111,4.118111,4.118111,0.039681997,1.0,1.0,1.0,4.1090207,4.118111,-0.0,-6.4146537e-09,1.0,0.9999421,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2685,1.0,0.0,100000.0,1.4101727e-05,-50002.0,10004.71,1.0000578,1.0000578,1.7003277e-09,1.694888e-08,0.9999421,1.7001308e-09,-188.68979,-295.86212,-295.86212,73.59828,83.813034,1.0,144.34569,230.92674,1.0,-0.12658581,1.0018152,4.275191,4.2661004,1.0,162.9735,25.716295,267.68057,28.18155,-5.2512647e-11,4.2381523e-13,4.275191,4.275191,4.275191,0.03968198,1.0,1.0,1.0,4.2661004,4.275191,-0.0,-6.365233e-09,1.0,0.9999421,1.0,-1.0,1.0,0.0,1.0,1.0
-0.268,1.0,0.0,100000.0,1.2462854e-05,-50002.0,10004.71,1.0000578,1.0000578,1.7242695e-09,8.238119e-09,0.9999421,1.7240699e-09,-198.76343,-313.85052,-313.85052,73.59828,92.435486,1.0,144.34569,230.92674,1.0,-0.12658553,1.0018152,4.4322705,4.42318,1.0,141.6024,57.161026,235.11818,78.73234,-5.1550573e-11,4.1362546e-13,4.4322705,4.4322705,4.4322705,0.039681982,1.0,1.0,1.0,4.42318,4.4322705,-0.0,-6.3162897e-09,1.0,0.9999421,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2675,1.0,0.0,100000.0,1.1051155e-05,-50002.0,10004.71,1.0000578,1.0000579,1.5512478e-09,1.38865115e-08,0.9999421,1.5510683e-09,-203.94286,-324.11087,-324.11087,73.59828,98.78186,1.0,144.34569,230.92674,1.0,-0.12658523,1.0018152,4.5893497,4.58026,1.0,116.74458,87.198265,196.76639,127.34448,-5.0509756e-11,4.0470196e-13,4.5893497,4.5893497,4.5893497,0.039682005,1.0,1.0,1.0,4.58026,4.5893497,-0.0,-6.268184e-09,1.0,0.9999421,1.0,-1.0,1.0,0.0,1.0,1.0
