Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control1.CB_faults,PCC_Control1.fault_vpu,PCC_Control1.fault_fpu,PCC_Control1.Fault,PCC_Control1.GFL,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.2375,0.5,0.0,50000.0,-2.8631057e-05,49998.473,9996.793,0.5020001,0.5020001,-3.5643044e-09,-3.6964945e-08,0.9960158,-7.071918e-09,-82.170296,-242.97661,-242.97661,145.63252,139.45216,1.0,72.45724,230.02,1.0,0.5527701,0.5037505,3.9850357,3.9956095,1.0,95.07587,-12.905574,308.7997,-65.82312,2.6786082e-11,5.5831675e-14,3.9850357,3.9850357,3.9850357,0.039526183,1.0,1.0,1.0,3.9956095,3.9850357,-0.0,-7.871002e-09,1.0,0.9960158,1.0,-1.0,1.0,0.0,1.0,1.0
-0.237,0.5,0.0,50000.0,-1.7561197e-05,49998.473,9996.793,0.5020001,0.5020001,-3.316776e-09,-3.9307064e-08,0.9960158,-6.5807986e-09,-90.911255,-273.82016,-273.82016,145.63252,161.44489,1.0,72.45724,230.02,1.0,0.55279,0.50375056,4.1421156,4.152689,1.0,87.64951,3.2617412,288.99783,-15.177679,2.625412e-11,5.9499104e-14,4.1421156,4.1421156,4.1421156,0.03952618,1.0,1.0,1.0,4.152689,4.1421156,-0.0,-8.163725e-09,1.0,0.9960158,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2365,0.5,0.0,50000.0,-6.5677223e-06,49998.473,9996.793,0.5020001,0.5020001,-2.9489087e-09,-2.810431e-08,0.9960158,-5.850915e-09,-97.41367,-297.92133,-297.92133,145.63252,179.46231,1.0,72.45724,230.02,1.0,0.55280995,0.5037505,4.299195,4.3097687,1.0,78.06493,19.348742,262.07986,35.841488,2.58296e-11,6.515171e-14,4.299195,4.299195,4.299195,0.039526172,1.0,1.0,1.0,4.3097687,4.299195,-0.0,-8.43038e-09,1.0,0.9960158,1.0,-1.0,1.0,0.0,1.0,1.0
-0.236,0.5,0.0,50000.0,4.5885117e-06,49998.473,9996.793,0.5020001,0.5020001,-2.5905866e-09,-3.4827522e-08,0.9960158,-5.13997e-09,-101.51745,-314.6867,-314.6867,145.63252,193.06084,1.0,72.45724,230.02,1.0,0.55282986,0.5037505,4.4562745,4.4668484,1.0,66.558136,34.959312,228.7086,85.97812,2.5351277e-11,6.524454e-15,4.4562745,4.4562745,4.4562745,0.03952618,1.0,1.0,1.0,4.4668484,4.4562745,-0.0,-8.65249e-09,1.0,0.9960158,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2355,0.5,0.0,50000.0,1.5481755e-05,49998.473,9996.793,0.5020001,0.5020001,-2.1075883e-09,-3.4955022e-08,0.9960158,-4.1816555e-09,-103.12152,-323.70346,-323.70346,145.63252,201.9056,1.0,72.45724,230.02,1.0,0.5528498,0.5037505,4.613354,4.623928,1.0,53.412457,49.70907,189.70578,133.99768,2.4806148e-11,-7.3547674e-14,4.613354,4.613354,4.613354,0.03952618,1.0,1.0,1.0,4.623928,4.613354,-0.0,-8.833167e-09,1.0,0.9960158,1.0,-1.0,1.0,0.0,1.0,1.0
-0.235,0.5,0.0,50000.0,2.553401e-05,49998.473,9996.793,0.5020001,0.5020001,-1.6659011e-09,-4.2848864e-08,0.9960158,-3.305306e-09,-102.18641,-324.74954,-324.74954,145.63252,205.77881,1.0,72.45724,230.02,1.0,0.55286974,0.5037505,4.770434,4.781008,1.0,38.951588,63.23482,146.03177,178.71777,2.416962e-11,-1.118605e-13,4.770434,4.770434,4.770434,0.039526176,1.0,1.0,1.0,4.781008,4.770434,-0.0,-8.975847e-09,1.0,0.9960158,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2345,0.5,0.0,50000.0,3.5103996e-05,49998.473,9996.793,0.5020001,0.5020001,-1.1190536e-09,-3.1618548e-08,0.9960158,-2.2203086e-09,-98.73512,-317.79922,-317.79922,145.63252,204.5851,1.0,72.45724,230.02,1.0,0.55288965,0.5037505,4.9275136,4.938087,1.0,23.531599,75.20352,98.76198,219.03725,2.3402386e-11,-1.3746443e-13,4.9275136,4.9275136,4.9275136,0.039526176,1.0,1.0,1.0,4.938087,4.9275136,-0.0,-9.083951e-09,1.0,0.9960158,1.0,-1.0,1.0,0.0,1.0,1.0
-0.234,0.5,0.0,50000.0,4.334313e-05,49998.473,9996.793,0.5020001,0.5020001,-6.469585e-10,-2.5752977e-08,0.9960158,-1.2836271e-09,-92.85265,-303.02362,-303.02362,145.63252,198.35387,1.0,72.45724,230.02,1.0,0.5529096,0.5037505,5.0845933,5.0951667,1.0,7.5321836,85.320465,49.060333,253.96329,2.2952884e-11,-1.5224371e-13,5.0845933,5.0845933,5.0845933,0.039526183,1.0,1.0,1.0,5.0951667,5.0845933,-0.0,-9.1596055e-09,1.0,0.9960158,1.0,-1.0,1.0,0.0,1.0,1.0
-0.2335,0.5,0.0,50000.0,5.0295203e-05,49998.473,9996.793,0.5020001,0.5020001,-6.672521e-11,-3.2671085e-08,0.9960158,-1.3238914e-10,-84.68384,-280.7866,-280.7866,145.63252,187.23853,1.0,72.45724,230.02,1.0,0.5529295,0.5037505,5.241673,5.2522464,1.0,-8.652698,93.33653,-1.8493356,282.63593,2.2581105e-11,-1.5497052e-13,5.241673,5.241673,5.241673,0.039526187,1.0,1.0,1.0,5.2522464,5.241673,-0.0,-9.182214e-09,1.0,0.9960158,1.0,-1.0,1.0,0.0,1.0,1.0
-0.233,0.5,0.0,50000.0,5.5933924e-05,49998.473,9996.793,0.5020001,0.50200003,4.5786608e-10,-3.7540406e-08,0.9960158,9.0844976e-10,-74.429825,-251.63565,-251.63565,145.63252,171.5128,1.0,72.45724,230.02,1.0,0.5529494,0.5037505,5.398752,5.409326,1.0,-24.624521,99.05435,-52.71347,304.34912,2.4386958e-11,-1.5763008e-13,5.398752,5.398752,5.398752,0.03952621,1.0,1.0,1.0,5.409326,5.398752,-0.0,-9.147512e-09,1.0,0.9960158,1.0,-1.0,1.0,0.0,1.0,1.0
