Time,Signal
0,1
1,1
2.2,0.94
2.24,0.938
2.32,0.938
2.36,0.94
2.52,0.948
7.92,0.948
7.96,0.95
8.12,0.958
11.72,0.958
11.76,0.96
12.12,0.978
61.32,0.978
61.36,0.98
61.76,1
62.96,1
63.56,1.03
63.6,1.032
67.48,1.032
67.52,1.03
67.68,1.022
123.22,1.022
123.32,1.02
123.72,1
124.92,1
